"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",41.3,203,131,232,129,102,70.5,53.7,47.3,35.9,53.8,39.7
"2",31.1,128,218,138,345,108,133,47.7,166,80.1,36.8,91.4
"3",186,230,166,223,106,112,75.7,103,38.3,39.4,36.3,43.6
"4",31.7,69.6,139,334,198,238,159.511324427742,162,50.9,78.1605012010653,159,161
"5",88.9,128,445,181,297,152.835417171318,95.9,94.2,74.3,67.8,94.4,234
"6",182,68,193,287,207,80,122,85.6,44.2,24.0595702916651,29.5094530994964,45.7
"7",46.3,95.3,140,153,97,93.1,71.9,56.6,27.3,25.2,19.9,24.3
"8",23.8,38,65.4,133,263,175,96.3421977100513,59.8,46.6,54.2,36.768914059301,28.8714025336366
"9",45.5,54.8,264,292,282,245,155,70.708990005803,32.5,27.2,37.4,47.3
"10",81.2,71.6,153,264,75,56.5,59.1,40.1,19.5,22.0838935935486,22,17.1
"11",39.1,90.9,61.5,270,149.044179039497,83.6997577407246,41.7,30.6,15.4,20,25.7,41.2
"12",37.6,71.5,199,331,132,158,59,27,34,24.6,24.9705817255022,37.8
"13",37.5918596690605,47.1,138,144,152,52.2,47.9,47.4,76.4,38.7,46.4595450712002,68.6
"14",32.1,59.3,97.3,74.9,58.9,82.6,42.8,20.3,22.8,25.4,52,50
"15",45.9,35.3972096207151,51.1,47,163,137,120,98.6,34.8,69.9,68.6,35.2
"16",30.8,40.4,89.7,132,52.7,98.8,58.2,30,18.5,55.8,94.6,59.1
"17",41.2,29.2,131,262,110,43.3,45.3,41.6,83.8,35.2,39.5,132
"18",96,79.7,128,178,121.57123741341,114,47.8,27.9,27.2,33.7,28.7,36.8
"19",51.1,65.6860896778697,112,118.653332595393,169,107,53.8,30,27.8418496828043,37.8,58.9,196
"20",158,52.3,103,200,167,71.8,55.7,46.4,131,87.8,51.6,128
"21",81.2,86.5,127,286,173.631245805011,131,100.321561694425,128,121,79.4001404317979,77.9756840896671,111
"22",141,93.5,95.7,95.5687544033478,156,393,273,69.2,85.8134602059499,158,92.0752094427762,66.9
"23",74.2,107,332,412,262,125,74.1424233520068,59.1,48.2,43.4,46.9,46.1900763660327
"24",46.4,118,288,434,91,36.5,51.5,27.7,32.5,25.6,22.6,28.7
"25",34.2,88.8176141966765,186,103.952266369153,76.5,72,160,66.5,145,90.7,100,75.8
"26",95,111.442881050548,172,101,62,71.6,55.3,160,78.4,95.2,172,56.8
"27",123,58.5,121,170,79.7,33.9,39.9,39.5,22.2,32.8296498495975,61.1,43
"28",45.8,119.686831834435,239,333,106,65.8,42.4,43.1182343225511,45.1,49.8,81.8,111
"29",55.6,71.4,267,320,278,155,245,213,93.9,54.3,51.3,92.8
"30",96.6,81.9,300,536,164,297,125,121,92.1,40.2,68.6,45.3
"31",102,177,185,87.9,86.5,86.3,47.8,42.9,112,93.2,137,123
"32",73.1,81.7,269,309,156,93.6,83.8,55.4,33.2,48.7,45.8,141
"33",101.976742235037,118,177,182,55.1,88.3,73.1,50.2,26.7,43.1,44.1754960822934,72.1
"34",210,142,177,219,190,194,246,119,67.5,52.5,67.4,203
"35",108,80.4,126,150,82.1,90.8,92.8,60,27.3,22.5,21,22.1722005766278
"36",25.1,23.3,78.1,184,104,131,30.2,21.3,17.2,22.4020601882561,26.5,25.8
"37",26.2,40.3,29.7532447618989,37.3531749537164,62.9,118,53.1,27.6,40.9,36.8986480192385,42.4,30.5
"38",60.4,79,75.5,77,94.3,67.6,84.7,46.9,29.6,29,27,12.515363536834
