"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",30.44579790228,40.0360862489829,131,232,129,102,70.5,53.7,47.3,35.9,33.5344995931652,39.7
"2",31.1,128,218,275.864663418229,345,108,91.763315123147,47.7,166,74.138628293649,36.8,131.418860489517
"3",186,230,166,223,134.13048361053,112,73.8442070989189,103,38.3,39.4,36.3,43.6
"4",31.7,69.6,139,334,198,238,171,162,50.9,107,159,161
"5",88.9,128,445,181,106.956562333249,270.874060637471,80.1479126258763,94.2,74.7691111686966,83.2954133195128,94.4,234
"6",182,68,193,261.688612283092,207,80,61.4198566476198,85.6,44.2,42,41.9,45.7
"7",46.3,95.3,140,153,97,93.1,71.9,56.6,27.3,22.4755497206565,19.9,24.3
"8",23.8,35.0285633484163,65.4,133,263,175,129,130.332692307692,46.6,92.3960972850679,40.3,51.6
"9",191.916806587381,159.330932135565,255.889075449841,292,282,245,155,47.5,32.5,27.2,57.375128636019,47.3
"10",81.2,71.6,153,264,75,56.5,59.1,40.1,43.1668359216901,23.4,22,17.1
"11",39.1,90.9,61.5,270,153,124.81794288395,41.7,30.6,15.4,20,25.7,41.2
"12",37.6,71.5,135.309085325726,331,132,158,59,27,58.1770044078618,84.2073022236043,19.7,43.3838296929043
"13",28.6,47.1,138,144,152,60.6789075250447,47.9,28.6889874778411,76.4,38.7,32.6,68.6
"14",32.1,59.3,97.3,74.9,32.6152014258402,82.6,24.4402050433233,20.3,22.8,25.4,52,50
"15",45.9,26.5,51.1,47,163,132.391955498502,120,98.6,34.8,69.9,68.6,39.0367137355584
"16",30.8,40.4,89.7,132,52.7,32.7062697223018,58.2,30,18.5,24.7533773886114,94.6,59.1
"17",41.2,29.2,211.158806973341,262,110,43.3,45.3,41.6,83.8,35.2,35.9519455738997,132
"18",96,79.7,128,178,109,114,47.8,27.9,27.2,23.7945949570815,28.7,36.8
"19",51.1,69.8062196808828,112,268.786565500222,169,81.549322057106,53.8,30,31.4454185852201,37.8,58.9,196
"20",158,52.3,181.421129525171,200,167,71.8,55.7,46.4,131,87.8,39.386245218159,42.9582674575147
"21",81.2,86.5,127,286,171.596009424935,131,102,128,121,133,25.6094044369032,111
"22",141,93.5,95.7,210,156,393,75.5698499290152,69.2,43.0397820787769,158,169,66.9
"23",61.0202432667246,107,332,412,262,125,97.9,59.1,48.2,43.4,46.9,183.832256418976
"24",46.4,118,288,301.62269446672,91,59.5999198075381,51.5,27.7,32.5,45.1075380914194,22.6,124.977848213028
"25",34.2,52.7,186,149,76.5,72,160,63.4196078063665,55.8612187940621,90.7,100,75.8
"26",95,238,116.765378095792,101,62,71.6,55.3,160,78.4,95.2,93.6888703675419,56.8
"27",123,58.5,121,170,79.7,91.2864780208127,39.9,60.321461247233,22.2,22.6205479677124,21.1125114365316,43
"28",45.8,106,239,333,106,65.8,42.4,82.1,45.1,49.8,81.8,137.979085189594
"29",55.6,71.4,267,320,278,155,245,101.176190445627,89.117948008904,54.3,51.3,92.8
"30",62.2815834866995,81.9,300,536,164,297,125,121,92.1,40.2,68.6,45.3
"31",102,177,185,87.9,86.5,86.3,47.8,42.9,112,93.2,137,123
"32",46.8027454387489,81.7,269,309,156,93.6,83.8,55.4,33.2,48.7,45.8,141
"33",73.1,94.6043611352147,177,182,55.1,88.3,41.289191512403,22.2079729105546,26.7,43.1,65.7,100.198724459723
"34",210,142,177,219,190,194,246,119,67.5,73.7151090342679,67.4,142.600607476636
"35",108,80.4,126,150,82.1,90.8,45.1993405199746,60,27.3,22.5,21,34.797818642993
"36",25.1,23.3,78.1,184,56.6418743651887,131,30.2,21.3,17.2,48.6042033898305,26.5,25.8
"37",26.2,40.3,95.1259289843105,211,68.9898965224222,118,53.1,27.6,40.9,59.2,42.4,30.5
"38",60.4,79,75.5,77,94.3,67.6,84.7,46.9,29.6,29,27,56.1
