"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",41.3,90.4793144350792,196.131264237739,232,129,102,70.5,63.3776789012986,62.4831172046251,41.0324423624333,10.3571652549393,39.7
"2",31.1,128,218,138,345,108,133,47.7,166,80.1,36.8,91.4
"3",186,230,166,223,106,112,75.7,103,38.3,39.4,36.3,43.6
"4",31.7,69.6,139,334,198,238,171,162,50.9,53.3514216354949,95.8352148131613,161
"5",88.9,30.8994467067292,116.180662724547,181,297,104,95.9,94.2,74.3,67.8,94.4,234
"6",104.668154024566,103.847919606247,147.188297733723,198.652613419302,207,80,122,85.6,44.2,42,41.9,45.7
"7",46.3,95.3,140,153,97,93.1,71.9,56.6,27.3,25.2,19.9,24.3
"8",23.8,38,65.4,133,263,175,129,59.8,46.6,54.2,40.3,51.6
"9",45.5,54.8,113.997975701256,235.879245592776,211.150140855774,135.299645737979,155,47.5,32.5,16.5132040399838,30.1524893365715,47.3
"10",81.2,98.6544876378503,150.581248983215,264,75,56.5,59.1,40.1,19.5,23.4,22,17.1
"11",39.1,90.9,61.5,270,153,144,41.7,30.6,15.4,20,25.7,41.2
"12",58.3586572519638,74.8592258163552,199,331,202.609732093747,86.3532012471727,59,27,34,24.6,19.7,37.8
"13",24.5688892101485,44.7351152765878,100.144271230398,161.526248387045,152,52.2,47.9,47.4,76.4,38.7,32.6,68.6
"14",32.1,59.3,97.3,74.9,58.9,82.6,42.8,20.3,22.8,25.4,52,50
"15",45.9,26.5,51.1,47,163,137,120,98.6,34.8,69.9,68.6,35.2
"16",30.8,40.4,89.7,132,120.628226885083,46.5995523308745,58.2,30,18.5,55.8,94.6,59.1
"17",41.2,29.2,131,262,110,43.3,45.3,30.750016050277,25.7395702052361,35.2,39.5,132
"18",96,79.7,128,178,109,114,47.8,27.9,27.2,33.7,28.7,36.8
"19",51.1,102,112,127,169,107,53.8,30,52.8,37.8,66.8610547446615,104.453694055308
"20",158,52.3,103,200,167,71.8,52.1443165608003,36.6679135030551,70.0922126798287,83.4602075451866,75.6938607502364,89.6883637075221
"21",81.2,93.4487117422826,156.437370679678,286,221,131,134.745360621016,59.9198125849262,121,133,70,111
"22",141,137.231517892981,161.468068531502,210,156,393,273,69.2,85.7,68.6128302441932,78.8243384568182,66.9
"23",77.6471555271765,146.111944639926,332,412,262,125,97.9,52.166931822888,42.420531162634,43.4,46.9,68.8
"24",46.4,118,288,434,91,36.5,51.5,27.7,32.5,25.6,22.6,28.7
"25",34.2,52.7,186,143.170616477242,55.5012059533855,72,160,66.5,145,90.7,100,75.8
"26",95,238,172,101,62,71.6,55.3,160,78.4,95.2,172,56.8
"27",123,58.5,121,170,79.7,33.9,39.9,39.5,22.2,67.3728919374791,78.6914598310757,43
"28",76.4433995609637,100.169889911772,239,333,180.341229333668,71.6820852686589,92.6306952575177,64.5563379856999,45.1,49.8,81.8,111
"29",55.6,71.4,267,320,261.553776899734,258.337771605559,245,213,93.9,54.3,43.8489666551985,67.9403485129225
"30",96.6,167.970666599523,284.556787937918,536,164,297,125,123.159017064053,83.4430478787529,56.8244650749365,34.6256538830924,45.3
"31",102,66.8537936244947,153.7892825787,87.9,86.5,86.3,47.8,42.9,112,93.2,72.6572208853783,102.499923185416
"32",73.1,81.7,269,309,156,93.6,83.8,55.4,33.2,48.7,45.8,141
"33",73.1,118,177,182,55.1,88.3,73.1,50.2,26.7,43.1,65.7,72.1
"34",210,142,177,219,190,125.825279251631,134.47899164393,119,67.5,52.5,67.4,203
"35",108,80.4,126,150,82.1,90.8,92.8,60,27.3,22.5,21,34.2
"36",25.1,53.0818480422363,98.4258210837403,184,117.600638385503,89.2445152953608,52.160731085319,22.4205284650108,17.2,19.6592524794663,20.1039846817851,25.8
"37",26.2,40.3,122,211,62.9,118,53.1,27.6,40.9,59.2,42.4,30.5
"38",60.4,79,75.5,77,94.3,67.6,84.7,46.9,29.6,29,27,56.1
