"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",41.3,203,131,232,129,102,70.5,53.7,64.1656957889566,33.7130592942888,53.8,39.7
"2",31.1,128,218,138,214.323680506861,110.210559309296,133,164.212028589789,118.83346214698,80.1,36.8,91.4
"3",60.5426051540743,107.499946043501,166,223,106,112,75.7,103,38.3,39.4,36.3,43.6
"4",71.7223449379503,86.1344051624504,139,174.961357123235,122.719726565909,95.7957531691057,135.527288161971,162,50.9,107,159,161
"5",61.9689931024958,102.490584039446,445,181,297,153.527515265114,284.832686136923,94.2,74.3,67.8,94.4,234
"6",175.495826592052,123.095897010413,204.745131024061,229.656524273159,207,147.546491245911,142.080836350328,85.6,44.2,42,41.9,45.7
"7",46.3,95.3,140,153,97,93.1,71.9,56.6,27.3,25.2,19.9,24.3
"8",23.8,352.367440156281,245.981051601045,402.705645892892,323.357535610893,175,129,93.212470622622,111.378827443356,54.2,40.3,51.6
"9",45.5,54.8,264,292,204.996237964902,103.544956493716,155,47.5,32.5,27.2,37.4,47.3
"10",81.2,71.6,153,264,75,56.5,59.1,86.7570552681482,26.4284509075112,23.4,22,17.1
"11",39.1,90.9,61.5,270,153,144,58.645820403104,21.8103869641026,15.4,20,25.7,41.2
"12",50.6429008300568,47.3720296920628,199,331,132,158,59,27,34,24.6,19.7,37.8
"13",28.6,47.1,138,144,148.2717061873,70.8561930209165,106.067067775615,113.603861215449,76.4,38.7,32.6,68.6
"14",32.1,59.3,97.3,74.9,58.9,96.7281854788008,40.9692814485881,20.3,22.8,25.4,52,50
"15",45.9,93.9328054377557,196.039374817487,47,163,80.8780236311433,102.809054546494,120.507004156749,87.0437083511046,69.9,27.0056815633548,40.3259349556468
"16",34.9231597018711,36.50784128105,89.7,132,52.7,98.8,45.1904240448643,25.0028888177911,18.5,55.8,94.6,16.3770096738588
"17",41.2,89.0612781345948,148.87948428401,327.564361952662,81.3874514085919,147.39068944117,63.407042121803,41.6,83.8,19.3217688156409,39.1289127623449,22.4808021268855
"18",96,79.7,128,178,109,114,47.3917214465139,21.2400544074789,27.2,33.7,28.7,36.8
"19",51.1,102,112,127,82.5099051295174,70.2717585476199,53.8,30,52.8,88.9008457580465,42.0191165459271,196
"20",158,52.3,103,200,167,71.8,31.4307316872234,63.3648561541572,34.8082218337697,36.9162839156539,51.6,128
"21",81.2,86.5,127,286,221,231.920412169346,68.6252403043647,128,121,133,27.785288713271,67.8023956963987
"22",141,93.5,95.7,210,156,212.812728980637,50.1880121238881,69.2,85.7,158,169,66.9
"23",74.2,107,332,412,262,125,97.9,59.1,48.2,43.4,46.9,68.8
"24",46.4,118,288,434,91,224.5817579877,84.0099213382662,57.0016555949996,44.4486785243854,25.6,22.6,28.7
"25",54.9052725200963,62.7196977306259,186,149,76.5,72,160,66.5,145,90.7,92.121684734206,123.858852335723
"26",115.938876696436,120.606593048344,104.59430743537,99.9120319766349,62,71.6,55.3,160,78.4,95.2,172,56.8
"27",123,58.5,121,170,79.7,33.9,39.9,39.5,22.2,54.1,61.1,43
"28",221.063432835821,102.456046117808,239,297.735518632945,143.241915422886,65.8,42.4,82.1,45.1,49.8,81.8,111
"29",53.6231773711189,75.010081572636,267,320,278,155,245,213,93.9,54.3,51.3,92.8
"30",96.6,81.9,300,536,164,297,125,121,58.7815218832931,42.3496634193343,68.6,45.3
"31",102,106.932615982898,91.1464671824028,87.9,86.5,86.3,56.4017131360774,140.763827156363,112,93.2,44.051118172022,49.9711586405087
"32",73.1,81.7,269,309,156,93.6,83.8,55.4,33.2,48.7,45.8,141
"33",73.1,118,177,182,55.1,167.085218132344,67.673341374556,42.4083155476806,26.1800458759775,43.1,65.7,72.1
"34",210,176.788465219722,269.721182272544,219,190,194,246,119,67.5,52.5,67.4,203
"35",108,80.4,126,141.330452713024,112.011772765531,90.8,92.8,60,27.3,22.5,21,34.2
"36",25.1,31.5368251533997,128.253594809908,184,104,131,30.2,21.3,17.2,20.8,26.5,25.8
"37",38.5319773462184,40.3,122,211,100.433050365119,125.11028362244,53.1,27.6,40.9,59.2,14.9888719105519,19.0824776030187
"38",18.5064312738832,30.477374580416,87.7817188038736,77,91.3981941104002,45.849484841629,84.7,46.9,29.6,29,27,56.1
