,0,1,2,3,4,5,6,7,8,9,10,11
0,100.0,352.0,201.09534952022278,458.0,284.0,170.0,133.0,109.0,86.69654423241766,80.8,106.0,99.0
1,73.8,143.000225614533,387.0,254.0,581.0,267.0,291.0,98.8,247.0,191.0,106.11432896945959,109.76705035978938
2,327.0,465.0,265.0,437.0,303.0,292.0,137.00047071482115,233.0,116.0,102.0,99.0,107.0
3,87.0,185.0,202.0,499.0,398.0,190.86137005442367,323.0,347.0,121.0,183.0,254.0,290.0
4,192.0,218.0,665.0,307.0,522.0,207.0,143.0,168.0,141.0,151.0,184.0,418.0
5,323.0,126.0,314.0,463.0,406.0,206.0,195.0,154.0,86.7,71.8,66.8,68.1
6,74.0,161.0,174.0,275.0,180.0,154.0,137.0,93.7,57.2,50.0,39.7,45.1
7,48.2,71.7,97.2,203.0,421.0,310.0,207.0,104.0,85.4,102.10399045957946,67.4,82.1
8,58.1,104.0,201.0936662545594,432.0,469.0,364.0,277.0,96.7,86.6,49.2,64.4,81.5
9,138.0,143.000225614533,196.0,322.3714778294378,185.0,129.0,115.0,81.8,43.5,42.9,105.88542787821137,32.9
10,73.8,143.0,93.0,386.0,283.9999851524172,189.0004814178285,88.0,57.0,37.2,101.71879670388356,105.93928393660558,107.00598254928704
11,67.9,115.0,295.0,479.0,271.0,303.0,117.0,55.5,69.6,102.24301870462033,45.5,70.2
12,51.6,57.6,201.09678358257517,322.3714778294378,286.0,187.0,118.0,98.7,154.0,98.1,105.97541290841728,114.0
13,76.0,118.0,170.0,146.0,129.0,164.0,99.0,50.6,45.4,57.1,88.0,85.0
14,75.5,48.7,201.09735041974648,104.0,290.0,189.0004814178285,244.0,108.0005774239535,85.9,136.0,134.0,89.0
15,105.00899511020259,143.000225614533,132.0,210.0,129.0,172.0,113.0,108.0005774239535,56.7,94.1,151.0,107.00598254928704
16,67.7,62.3,186.0,395.0,206.0,100.0,68.3,108.0005774239535,122.0,78.5,83.2,175.0
17,155.0,128.0,172.0,322.3714778294378,214.0,189.0004814178285,107.0,61.4,86.68881820717527,102.05984386830501,70.9,90.2
18,106.0,160.0,167.0,322.3714778294378,342.0,286.0,152.0,85.8,122.0,100.0,131.0,216.0
19,345.0,127.0,174.0,303.0,336.0,189.0004814178285,103.0,87.0,87.50766560896805,164.0,99.1,224.0
20,182.0,133.0,202.0,412.0,430.0,240.0,198.0,270.0,225.0,229.0,135.0,173.0
21,243.0,145.0,156.0,331.0,291.0,526.0,441.0,143.0,166.0,259.0,278.0,109.75286127450454
22,104.98506721402246,232.0,496.0,511.0,456.0,243.0,137.00047071482115,149.0,121.0,908.0,921.0,137.0
23,105.0,257.0,388.0,674.0,223.0,92.5,95.7,67.2,86.6878528646091,49.7,45.9,47.0
24,57.9,76.7,222.0,255.0,188.0,190.86137005442367,271.0,152.0,263.0,183.0,166.0,135.0
25,172.0,320.0,233.0,331.0001730371504,124.0,132.0,92.0,241.0,129.0,154.0,239.0,116.0
26,210.0,143.000225614533,166.0,331.0001730371504,186.0,85.0,71.4,68.8,53.7,107.0,111.0,81.0
27,91.7,194.0,343.0,499.0,249.0,181.0,137.00047071482115,155.0,87.49523888262695,105.0,105.88988228864996,224.0
28,130.0,143.0,437.0,637.0,531.0,286.0,368.0,376.0,205.0,102.40079149982958,107.0,172.0
29,195.0,167.0,438.0,814.0,336.0,469.0,244.0,108.0005774239535,210.0,102.2612287196192,106.0,92.0
30,148.0,269.0,296.0,167.0,199.0,189.0,137.00047071482115,108.0005774239535,169.0,159.0,226.0,200.0
31,118.0,140.0,368.0,322.3827005516912,316.0,189.0004814178285,155.8265509196897,121.0,87.50766560896805,105.0,93.1,212.0
32,120.0,176.0,303.0,277.0,147.0,152.0,145.0,108.0,63.4,74.4,139.0,112.0
33,348.0,225.0,239.0,331.0001730371504,318.0,343.0,357.0,219.0,134.0,118.0,120.0,292.0
34,105.00271457136735,161.0,201.0,322.3714778294378,162.0,154.0,137.00047071482115,121.0,58.2,38.7,37.1,53.3
35,105.00555197293907,48.8,107.0,261.0,208.0,225.0,75.8,45.7,31.4,34.5,46.1,44.7
36,46.2,62.7,201.09735041974648,322.3714778294378,131.0,172.0,99.1,108.0005774239535,67.0,113.0,79.6,67.9
37,99.7,115.0,113.0,134.0,201.0,189.0004814178285,155.8265509196897,118.0,81.1,83.7,81.7,120.0
