"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",100,352,254,458,284,166.387821630441,146.214780703336,109,98.7,80.0130075151124,106,99
"2",73.8,229,387,254,581,363.713442761825,291,98.8,247,137.962792477528,85.5,138
"3",222.430125208088,465,265,437,377.309436802787,292,221,233,116,102,99,107
"4",87,185,202,499,398,486,323,215.000327240632,121,183,254,290
"5",192,218,665,307,522,207,174.904840158633,168,141,151,184,418
"6",217.544847214263,126,314,463,406,206,195,154,86.7,71.8,66.8,68.1
"7",57.8165559827171,75.2012849474807,174,275,260.092961993303,154,137,85.0554035226865,57.2,50,39.7,45.1
"8",48.2,71.7,97.2,203,421,310,207,104,85.4,96.1,67.4,53.4359118844887
"9",58.1,104,365,432,469,364,277,96.7,86.6,49.2,64.4,81.5
"10",138,126,196,398,185,129,115,81.8,43.5,42.9,39.9,32.9
"11",73.8,143,93,386,337,306,88,57,37.2,38.8,45.1129567898824,69.8
"12",67.9,115,295,288.951973647563,271,197.665494004739,117,55.5,69.6,55,45.5,70.2
"13",51.6,57.6,142.204288255946,201.563203682822,286,191.845646926424,118,98.7,86.6335609791971,98.1,82.4,114
"14",76,62.2879581760825,101.304220139531,146,129,164,99,50.6,45.4,57.1,88,79.7882676281134
"15",75.5,48.7,92.8,104,290,312,244,132.126794946393,85.9,136,134,89
"16",73.7,68.503992079478,132,210,129,172,113,66.5677824992745,56.7,90.6725017687528,151,88
"17",71.8776520159323,62.3,186,395,206,100,68.3,68.5,122,78.5,123.489697739093,175
"18",155,128,172,294,214,244,107,61.4,65.9,77,70.9,90.2
"19",106,160,167,274.436572430313,342,286,152,85.8,122,116.751354184144,131,216
"20",345,127,168.306901517437,303,245.848979964979,132,103,87,222,164,99.1,224
"21",182,133,202,412,430,240,198,270,232.955808308769,229,135,173
"22",138.960223078926,145,156,271.334764403056,291,526,441,143,166,259,278,124
"23",147,232,301.77700431008,511,456,243,240,130.153314990798,121,908,921,407.960536184433
"24",105,257,388,674,223,92.5,95.7,67.2,4.08910240954403,49.7,45.9,47
"25",57.9,76.7,222,255,188,136,271,152,263,182.787648767935,166,135
"26",172,320,233,195.368002383402,124,132,92,241,129,154,239,116
"27",210,111,166,255,186,85,71.4,68.8,53.7,67.7907856684812,111,81
"28",91.7,145.349154875293,343,499,333.260492942857,181,103,155,78.9,103.45591685832,177,224
"29",130,143,437,571.873571757888,531,286,368,376,205,122,107,172
"30",195,167,438,814,336,469,244,223.628206153607,210,86.6,106,92
"31",148,143.330998630524,296,167,199,189,94.5,119.273413630501,169,159.5741412207,226,200
"32",118,140,368,430,316,199,145,97.787499929297,73.2,105,93.1,212
"33",120,176,303,277,147,152,145,108,63.4,74.4,139,112
"34",348,225,239,272.204151255996,318,343,357,219,134,102.884820983444,120,292
"35",182,161,201,236,162,154,166,121,58.2,38.7,30.8809217643606,53.3
"36",46.2,48.8,107,261,208,138.92899024039,75.8,47.1662036633017,31.4,34.5,46.1,44.7
"37",46.2,62.7,180,313,131,172,110.030634998856,56.6,68.4258659932288,113,79.6,88.6768273763885
"38",99.7,78.9024978958293,113,134,201,138,173,118,81.1,83.7,81.7,120
