"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",100,119.650180140905,424.302876029897,458,284,170,133,73.4875084257966,98.7,80.8,106,99
"2",73.8,229,387,254,581,267,291,98.8,256.291998382923,191,85.5,138
"3",327,465,265,437,287.643226091056,292,221,233,116,102,99,94.6381725348967
"4",87,185,295.042296810983,499,589.615504831463,486,323,68.5375231114623,126.734077493809,183,254,290
"5",192,218,665,307,522,207,153.457934853846,168,314.474550243994,151,184,418
"6",323,126,314,463,406,206,195,154,86.7,71.8,66.8,68.1
"7",74,161,174,275,180,154,137,93.7,57.2,27.048402689752,39.7,45.1
"8",48.2,115.19037332958,97.2,203,421,310,134.468101097546,104,85.4,96.1,106.511319913732,82.1
"9",58.1,104,365,563.329597163743,469,364,277,96.7,86.6,49.2,64.4,81.5
"10",156.233431654816,126,196,398,185,245.941660153389,115,81.8,43.5,42.9,39.9,32.9
"11",73.8,143,93,386,337,306,88,57,37.2,38.8,42.7,92.6665993961815
"12",67.9,115,295,479,271,303,221.646883059401,55.5,69.2946573030473,55,60.9586118132704,70.2
"13",51.6,57.6,242.585646943314,222,311.705940866889,187,118,98.7,154,74.3455250241346,82.4,114
"14",76,75.4484440412241,170,314.25917126736,129,164,99,50.6,45.4,57.1,88,85
"15",75.5,48.7,92.8,104,290,329.132540771541,244,210,87.9900234323398,136,150.734021938269,89
"16",73.7,96.8,132,210,263.790132733456,172,113,64.2,56.7,94.1,151,88
"17",67.7,62.3,186,395,206,100,68.3,68.5,122,78.5,87.0045641334859,175
"18",155,128,172,294,214,244,107,61.4,65.9,47.6446575342466,70.9,90.2
"19",106,160,167,209,342,373.906945524814,162.188893393244,85.8,122,100,131,216
"20",345,127,174,303,336,132,103,87,222,164,99.1,224
"21",182,133,202,412,430,240,198,270,225,229,253.809492822526,173
"22",243,238.478479953299,201.233033468329,331,782.388564496834,526,441,143,166,259,278,124
"23",147,232,496,687.487935107071,456,243,240,149,121,908,921,137
"24",105,109.413045532597,388,674,223,92.5,95.7,67.2,65.8377032197749,49.7,45.9,47
"25",57.9,76.7,222,255,188,136,271,45.6129033121111,263,183,166,135
"26",305.920013565437,76.5965548458857,233,154,124,132,92,241,129,154,239,116
"27",210,111,166,255,186,85,71.4,68.8,52.5987968417095,107,111,81
"28",91.7,223.710581776473,343,499,249,181,141.076392015177,117.725816785079,78.9,105,177,224
"29",516.372463925355,143,501.984376695237,637,531,286,368,376,205,122,107,172
"30",195,167,438,814,336,502.484704430131,234.957107199428,216,210,86.6,106,92
"31",148,269,296,167,199,189,94.5,87.9,169,203.908842906,226,200
"32",118,229.932406792051,368,430,316,199,145,121,73.2,105,181.59434400054,212
"33",120,176,303,277,242.831256616324,152,145,108,63.4,74.4,139,112
"34",348,225,239,334,318,343,357,219,134,118,120,292
"35",182,161,201,321.096489075224,162,154,166,121,58.2,38.7,37.1,53.3
"36",46.2,48.8,107,261,208,225,75.8,45.7,31.4,34.5,46.1,65.314773178151
"37",84.4753474724996,62.7,180,313,131,217.679846186418,99.1,56.6,67,113,79.6,67.9
"38",172.668892838221,115,113,134,201,138,173,108.662320493019,81.1,73.7139489620364,81.7,120
