"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",100,352,254,458,284,170,133,109,98.7,80.8,106,99
"2",73.8,229,387,254,581,267,291,98.8,247,191,85.5,138
"3",327,465,265,437,303,292,221,233,116,102,99,107
"4",87,185,202,499,398,486,323,347,121,183,254,290
"5",224.123073924632,317.724611457823,665,307,522,207,217.535426093148,173.0522054295,206.422672998666,144.44305492766,184,418
"6",323,126,314,463,406,206,195,154,86.7,63.973723862747,44.9194439676901,68.1
"7",74,161,181.068326034542,189.866851722097,180,154,137,93.7,57.2,50,39.7,45.1
"8",48.2,71.7,97.2,203,421,310,207,104,81.3498978795965,60.9931241089894,67.4,82.1
"9",58.1,104,365,432,469,364,277,96.7,86.6,49.2,40.7162351586417,86.197813372928
"10",138,126,196,398,349.657539758971,177.057058158848,115,65.7795266742607,58.1095325781868,42.9,39.9,32.9
"11",73.8,143,93,386,337,306,88,57,19.8132388759617,32.9832430553995,42.7,69.8
"12",67.9,115,295,479,271,201.374263161704,127.985299647956,55.5,24.5590583113455,46.0785978300656,45.5,70.2
"13",50.1843454369739,104.202848295953,204,222,286,187,118,98.7,154,85.7855898428733,93.1325859130863,114
"14",95.5697934848065,123.002898742858,170,146,129,164,99,50.6,45.4,57.1,88,85
"15",94.0348813032515,74.6958830510113,92.8,104,290,312,244,210,85.9,136,100.260120003482,88.6027304123868
"16",73.7,96.8,132,210,129,114.131578217645,104.619327003698,64.2,56.7,94.1,151,88
"17",67.7,62.3,186,395,206,100,68.3,68.5,122,78.5,83.2,175
"18",155,132.360668859502,174.841803451199,294,214,244,107,61.4,65.9,77,86.2957009513895,100.582478219228
"19",106,160,167,209,342,286,157.316359469165,107.95188316876,121.679590129902,115.13403507688,131,216
"20",345,127,174,303,336,132,103,105.261825065225,107.224177029698,110.449455632856,145.884646532382,224
"21",182,133,202,412,430,240,174.507272174806,165.358683762282,225,229,135,173
"22",161.447897118279,145,156,331,291,265.893373271235,300.523714276633,166.75288870271,94.4937494372093,259,278,124
"23",180.13905631914,282.528212620139,290.545472429456,511,456,243,240,149,121,908,921,137
"24",105,257,274.484174536602,284.908312181728,223,92.5,95.7,67.2,155.848567611662,294.482596771948,289.867548954831,135.252312756075
"25",57.9,76.7,193.388175383189,178.393493878028,188,136,271,152,263,183,166,135
"26",172,320,233,154,124,132,92,241,129,154,239,116
"27",82.7634091607971,143.401020702521,166,255,186,85,71.4,68.8,53.7,107,111,81
"28",91.7,194,343,499,249,181,103,155,78.9,105,177,224
"29",130,198.871319077006,309.157737931537,412.924754557209,376.72295266915,436.920185533846,357.322589983369,376,205,126.914048970692,138.4437495539,172
"30",195,167,252.623465685825,321.905544850468,336,469,244,216,210,174.244355446044,100.643635756901,92
"31",148,269,296,167,199,189,94.5,87.9,169,159,226,200
"32",118,140,368,430,316,199,145,121,73.2,105,93.1,212
"33",120,176,303,277,147,152,145,108,63.4,74.4,139,112
"34",184.791869525094,255.254074086688,281.491822305446,251.42068507141,318,343,357,219,134,118,120,292
"35",182,161,201,236,162,154,166,121,58.2,38.7,37.1,53.3
"36",46.2,48.8,107,261,208,225,75.8,45.7,31.4,55.8245439786901,33.8086363537834,44.7
"37",46.2,62.7,180,313,131,172,99.1,56.6,67,113,79.6,67.9
"38",99.7,115,113,134,201,138,173,118,81.1,83.7,81.7,120
