"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",100,352,254,458,284,170,115.023965681077,236.155676658183,98.7,80.8,106,99
"2",481.05967244669,185.784770806224,462.987444707573,689.568508801292,581,303.743355445096,205.268284034866,229.359719990063,127.837616102378,191,96.9316631678461,79.0311934743559
"3",327,314.301897482284,570.785938192241,437,303,292,221,233,116,102,99,107
"4",133.50777045971,283.416744581417,202,499,398,486,323,347,136.850380323945,273.239967255723,89.4639698956822,138.33908232016
"5",192,218,665,307,520.731946425928,393.572032296869,143,168,141,151,184,418
"6",323,126,314,463,406,206,195,154,86.7,71.8,65.739454887222,53.064259912674
"7",74,162.513247251413,234.114593401893,275,180,154,137,93.7,57.2,50,39.7,45.5238972114205
"8",48.2,71.7,97.2,203,421,310,207,124.243410574267,194.910445014511,124.160484778724,94.5841583156421,144.284355400352
"9",58.1,104,365,432,273.794607278375,397.51273664145,277,96.7,86.6,49.2,64.4,81.5
"10",138,126,196,398,185,129,115,81.8,43.5,35.0895572404013,40.4332215055429,32.9
"11",73.8,143,93,386,337,306,124.78776761038,64.3491240514675,74.2327232964314,80.6984128984202,42.7,69.8
"12",67.9,115,87.1960466026869,426.426471956097,271,303,117,55.5,69.6,55,45.5,70.2
"13",51.6,129.097168960954,112.42937399679,222,286,187,118,98.7,154,72.852703809987,75.1384430176565,114
"14",76,118,170,146,82.7197165378491,96.1090037996477,99,50.6,35.6763947516982,50.7107808993116,25.8608103387779,33.1134774003155
"15",75.5,48.7,92.8,104,290,312,244,210,85.9,136,84.3006620462432,135.256026936027
"16",73.7,96.8,132,210,129,90.8432995922709,75.5689572728687,64.2,56.7,24.7104741158908,29.3879278283378,88
"17",118.826609897245,196.404821569536,186,395,206,100,68.3,68.5,91.4174868544614,37.9817884513849,83.2,175
"18",155,128,172,294,214,125.673400342051,101.627218401444,61.4,65.9,34.1846819759554,39.521696045006,90.2
"19",106,160,167,209,342,286,152,85.8,122,100,43.6826629268258,63.2024984423582
"20",345,127,302.700307782265,465.482389323433,336,132,103,87,222,164,99.1,224
"21",182,133,202,412,430,240,198,270,225,229,135,173
"22",243,145,156,845.993749411063,607.902959032552,526,441,143,166,259,278,124
"23",147,240.524794033369,336.395595798398,511,456,243,189.099457991294,195.297389927591,121,957.562403113219,844.063927822658,137
"24",201.551603130025,178.463351848448,388,674,223,92.5,95.7,67.2,90.9,49.7,45.9,47
"25",57.9,76.7,222,255,188,136,271,152,263,183,166,135
"26",172,320,233,485.852266696421,175.073415653748,130.406882011717,101.480949410495,241,129,154,239,116
"27",210,111,166,271.683930332262,147.174878976067,85,71.4,50.7785095226951,59.9919125512307,107,111,130.740070495215
"28",91.7,194,343,499,249,181,103,155,78.9,60.5539395975675,87.8142169314187,64.6709056914814
"29",549.984370624467,405.079182353107,437,637,531,286,368,376,205,122,107,172
"30",195,167,438,814,366.685219770697,256.338410067912,244,162.134329606719,86.4396964182495,86.6,106,92
"31",148,269,296,167,199,186.718944698595,145.302268474118,87.9,169,159,226,200
"32",98.4724385011882,244.761510849544,368,430,316,199,145,121,73.2,105,94.2996736783983,68.5636281944995
"33",120,176,303,277,147,179.161324335506,158.591711809843,108,63.4,58.1692611478914,45.9568683127792,112
"34",348,258.246272857231,352.905704405481,334,318,343,357,219,134,118,59.5089237453618,93.581462909513
"35",239.852401565634,161,201,277.800584812677,277.868165981912,154,166,163.976483343119,59.3378571197826,38.7,37.1,53.3
"36",91.7795992105876,83.7987644966234,135.846699154733,275.851970732571,123.037868506947,85.7939731751145,79.7059714428282,45.7,31.4,24.3204108464775,32.0707109139666,44.7
"37",46.2,62.7,180,313,131,172,99.1,56.6,67,113,79.6,67.9
"38",99.7,115,113,134,201,138,173,91.3253119158542,149.287768918844,83.7,81.7,120
