,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,20.642146321991145,50.5,72.2,45.5,39.560461204660015,22.6,16.3,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,38.35017217541672,18.1,86.8,21.92779622296643,16.1,47.3
2,56.4,60.3,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,10.1,14.0,63.26551751583238,112.0,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,59.5,32.5,22.6,17.871568627533033,20.47945302319336,29.205240161607154
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,25.9,10.9,10.0,9.3,8.7
7,8.59,34.75536933855209,17.9,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,149.0,102.0,85.6,51.4,17.9,14.2,18.312703317394387,21.726747436244285,18.7
9,27.9,20.7,64.5,135.0,31.0,15.8,22.1,15.8,9.5,9.5,8.8,8.0
10,11.2,12.125900199632525,24.5,92.8,53.6,47.5,28.70544046728537,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,55.8,21.3,12.8,16.0,10.3,9.0,16.9
12,9.44,21.852462381965026,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,20.1,10.3,10.4,11.4,26.3,21.8
14,21.7,33.94833513340259,27.2,27.1,68.5,56.2,42.2,37.1,16.2,19.319619328579023,26.3,13.0
15,9.22,11.9,35.3,65.9,24.4,43.4,28.6,14.4,12.8,13.933783425385187,15.975420316828954,22.8
16,19.8,13.0,65.4,110.0,51.9,34.17042742230918,23.1,23.8,55.7,17.9,18.8,61.0
17,37.6,36.3,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
18,19.0,25.775019580614057,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119.0
19,45.2,16.4,74.57091424237578,85.78579303923533,65.0,22.9,18.5,11.9,55.4,36.4,21.6,43.536679495913376
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,16.75477009173282,26.1,31.4,88.6,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,181.0,73.4,36.8,27.4,18.5,21.816234113493582,13.9,14.3,23.8
23,23.876773118607183,28.5,117.0,171.0,30.2,14.6,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,23.28490136369497,19.1,24.11064018494411,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,36.5,24.1,24.667287240439652,29.9,44.7,28.889534076434277,22.4
26,37.9,13.9,59.973582002622244,75.7,33.1,13.0,17.8,15.3,9.85,21.0,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,20.5,19.9,31.5,16.6,19.8,39.3,44.8
28,19.2,32.5,88.1,136.0,107.0,33.3,83.1,68.6,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,62.163285528399996,26.8,18.3,18.1,54.2,30.192550177967764,52.7,40.5
31,30.9,23.0,101.0,137.0,67.2,32.7,44.5,24.4,15.4,16.6,19.9,48.1
32,26.4,43.7,70.29433790361998,76.1,56.57320708748328,35.55347161976925,28.3,23.1,11.4,18.1,19.2,26.9
33,67.1,53.0,70.9,84.9,79.3,66.8,75.4,35.2,25.3,19.1,24.7,83.1
34,37.5,21.6,43.5,62.9,31.0,30.4,35.6,24.40911399797222,11.2,12.588596664197842,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,29.74342518705694,8.4,7.9,8.7,9.8,17.846005467111816
36,9.6,18.481122062885436,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,14.3,12.0
37,16.692715008075275,33.5,32.9,30.0,26.0,46.28059463267596,37.8,18.3,10.9,12.5,10.4,14.2
