,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,22.391461005102805,54.65046253719285,72.2,45.5,37.52369296435845,22.6,18.412353983956052,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,27.47785833663293
2,20.044135845282263,22.909837994434387,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,24.086500638440913
3,21.982808008729187,24.099429895900304,47.9,112.0,68.3,88.7,30.15162491173571,38.7,20.30738719412353,43.7,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,59.5,32.5,22.6,38.3,43.1,81.3
5,44.1,14.3,36.5,103.0,54.6946605187227,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,25.9,10.9,10.0,9.3,22.83875718497032
7,8.59,22.79162637141243,17.9,45.6,118.0,79.5,28.672418799134043,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,149.0,102.0,85.6,51.4,17.9,14.2,10.8,15.6,20.617076511174925
9,27.9,20.7,64.5,135.0,31.0,15.8,22.1,15.8,9.5,9.5,8.8,20.21027302935461
10,11.2,33.2,24.5,92.8,53.6,47.5,27.032552015811476,12.2,17.562494955854667,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,55.8,21.3,12.8,16.0,10.3,9.0,16.9
12,9.44,27.9,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,20.1,10.3,10.4,17.57113002940687,26.3,21.8
14,21.7,10.3,27.2,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,25.94358064701039
15,9.22,11.9,35.3,65.9,24.4,37.85055606719533,28.6,14.4,19.348242280350398,28.9,52.8,22.8
16,19.8,13.0,65.4,110.0,51.9,21.0,23.1,23.8,55.7,17.9,18.68112535197323,61.0
17,37.6,22.845746663960988,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,13.4,21.65534749656484
18,19.0,42.9,54.274456845526736,69.5,79.3,40.4,23.7,21.98227287436483,18.196750688473955,16.382145920388055,17.211647576605877,119.0
19,45.2,16.4,56.8692002756125,86.4,65.0,22.9,18.5,20.884429305946334,55.4,36.4,22.447223929700417,26.048503507270873
20,21.9,28.8,45.8,89.0,93.5,41.01733201086297,29.779450728730534,41.0,53.0,18.24936221539682,27.6,37.1
21,34.3,26.1,31.4,88.6,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,81.37224870984542,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,14.6,27.90836230127234,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,26.81285107659216,19.1,55.3,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,36.5,28.465610616438994,63.3,29.9,44.7,71.5,29.78674978634244
26,37.9,13.9,37.1,75.7,33.1,13.0,17.8,15.3,18.953099799339068,21.0,23.0,9.93
27,8.7,23.547072723892555,92.9,80.69418705850302,51.5,20.5,19.9,31.5,16.6,19.65940980263296,39.3,44.8
28,19.2,32.5,88.1,136.0,107.0,41.55588970069897,83.1,68.6,24.8,15.6,15.4,24.0
29,26.5,23.75854427654893,52.09361188823517,205.0,62.9,108.0,45.8,44.1,19.252132097616695,15.0,29.0,16.0
30,44.6,70.1,76.6,79.82007222817737,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,30.9,23.0,101.0,137.0,67.2,39.52455954020482,44.5,24.4,15.4,16.6,19.9,48.1
32,26.4,43.7,50.6,75.0598248537281,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
33,67.1,53.0,70.9,84.9,79.3,66.8,75.4,22.79298461006939,25.3,19.1,24.7,83.1
34,37.5,21.6,43.5,62.9,31.0,30.4,35.6,21.1,15.51258554559461,15.732405802726344,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,42.041648115478544,10.9,8.4,18.551461725270343,8.7,16.460002351344457,9.8
36,9.6,15.7,40.3,78.47724555653551,22.0,54.5,16.0,18.321980444994757,19.4,14.1,14.3,12.0
37,22.7,33.5,32.9,30.0,26.0,39.19905436366192,37.8,21.134615093443905,10.9,12.5,10.4,14.2
