,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,50.5,72.2,33.16793242465861,37.6,25.533335036050705,16.3,18.5,16.820237871124633,26.0,14.2
1,10.5,39.76166920384814,55.10222136917421,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,60.3,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,10.1,14.0,47.9,112.0,68.3,88.7,57.2,38.7,18.8,43.7,63.5,44.420573404024616
4,23.4,20.8,58.642354967065906,67.9,100.0,37.2,59.5,28.297591016468385,22.6,38.3,43.1,95.96215304651066
5,15.601039045860992,14.73608791512917,36.5,103.0,69.2,31.7,51.9,31.3,25.96007394901125,13.1,12.9,13.2
6,21.2751710897419,26.2,51.791803242537895,94.27634693647434,44.4,40.4,23.6,25.9,10.9,10.0,9.3,17.041304341129507
7,8.59,11.9,17.9,105.57312274860851,118.0,79.5,47.4,16.2,14.1,16.7,16.474697339835146,18.5
8,11.2,11.3,23.5,149.0,102.0,48.22533565887841,51.4,17.9,23.711812455703214,10.8,15.6,18.7
9,27.9,20.7,64.5,135.0,31.0,38.420578335305265,22.1,15.8,9.5,11.669113630450711,8.8,8.0
10,11.2,10.336270408107396,24.5,92.8,53.6,46.12549563655846,17.9,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,70.47084693453259,134.0,53.3,55.8,21.3,12.8,9.990823743142622,10.3,9.0,16.9
12,23.534963595079248,26.792583378699717,61.7,73.4,50.0,24.4,16.7,21.8,31.0,17.1,22.605697125258466,31.5
13,15.7,27.4,44.1,34.0,29.4,36.9,20.1,15.04293977215648,10.4,11.4,26.3,21.8
14,27.50065370783674,44.4058256012529,27.2,27.1,68.5,56.2,42.2,37.1,16.2,23.7,22.95710332933741,13.0
15,9.22,11.9,35.3,79.65377854506845,24.4,43.4,28.6,14.4,12.8,43.786284421302724,52.8,28.27264803184786
16,19.8,13.0,65.4,88.12903097834538,66.68903575904888,21.0,23.1,23.8,55.7,17.9,18.8,61.0
17,37.6,36.3,66.5,88.0,40.33497309080336,40.198125385118864,20.4,21.22669155226313,9.6,15.3,13.4,18.1
18,19.0,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119.0
19,45.2,36.91187250812388,26.4,86.4,65.0,22.9,18.5,11.9,55.4,36.4,21.6,42.6
20,26.366886491452203,28.8,45.8,89.0,54.679735940424294,86.28207544575179,37.1,41.0,22.473339460834396,63.3,27.6,37.1
21,34.3,30.978818686067918,54.762951930439435,88.6,62.6,119.0,71.4,42.94536203751674,27.9,54.6,33.17294749963182,20.0
22,18.1,23.4,105.0,181.0,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,54.742810047142406,14.6,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,22.589134325927613,55.3,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,51.84542077614041,25.68108794272306,63.3,29.9,44.7,71.5,22.4
26,37.9,13.9,36.18247249804401,75.7,33.1,40.13913734270887,20.17481556026977,15.3,9.85,21.0,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,63.22243131516281,19.9,31.5,14.270607943667745,15.742565732053222,16.836066298202358,22.063728788035164
28,19.2,21.799723622681668,88.1,136.0,107.0,33.3,83.1,36.84597541876725,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,71.25548313721931,108.0,57.394399077819564,44.1,31.1,15.0,13.445905043972825,16.0
30,44.6,70.1,76.6,37.1,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,20.20385234623601,23.0,47.55566496383005,78.70930316951926,67.2,32.7,44.5,24.4,15.4,16.6,19.9,48.1
32,26.4,27.158604177218614,50.6,76.1,22.5,41.7,28.3,23.48233235682838,11.4,18.1,19.2,26.9
33,67.1,53.0,70.9,84.9,79.3,66.8,75.4,35.2,24.845626881818383,19.1,24.7,83.1
34,37.5,35.30002887696603,43.5,62.9,31.0,30.4,24.82884221603863,21.1,11.2,10.0,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,10.9,8.4,7.9,16.584290800757884,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,27.407613336095977,12.8,19.4,14.1,14.3,12.0
37,22.7,33.5,32.9,30.0,59.19160024475414,22.8,37.8,18.3,17.14963224924415,12.5,20.416515448310648,14.2
