"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",16.7,73.3,50.5,8.06213140177468,45.5,37.6,22.6,16.3,39.9317233318614,12.9,26,14.2
"2",10.5,55.8658147303736,64.8,27.8194406386668,134,38.5,53.7,18.1,86.8,30.9,16.1,47.3
"3",56.4,60.3,92.2,58.4665192097622,84.5932209577439,27.7,25,23.7513344063265,15.6,31.1945342730979,14.3,16.5
"4",10.1,14,99.6050678800524,112,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
"5",23.4,20.8,146,89.9038186154965,44.0210528461421,37.2,59.5,25.1003866959512,22.6,38.3,43.1,81.3
"6",44.1,14.3,36.5,103,36.9739083575386,32.449006160756,51.9,21.3261837899208,14.008269412182,13.1,12.9,13.2
"7",19.8,26.2,22.7477568962,56.9,44.4,40.4,41.5230194814828,25.9,10.9,10,9.3,8.7
"8",8.59,15.6808985957261,17.9,45.6,118,79.5,47.4,16.2,14.1,16.7,15.8,18.5
"9",11.2,11.3,23.5,149,102,85.6,51.4,17.9,14.2,10.8,10.3591332696548,18.7
"10",27.9,20.7,64.5,101.110434145242,31,15.8,28.9783006049019,12.5865346061695,9.5,9.5,8.97329314009681,8
"11",11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,8.9,9,11.1,13.4
"12",13.7,17.8,69.1,134,53.3,55.8,21.3,12.8,16,10.3,9,16.9
"13",9.44,18.9007097740486,47.3354058942986,73.4,41.5265305321235,24.4,16.7,21.8,31,17.1,14.7609525447769,31.5
"14",15.7,27.4,44.1,34,46.0083964830345,36.9,24.6294647276872,24.6294647276872,10.4,17.06081767215,26.3,21.8
"15",21.7,10.3,33.2016892933508,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13
"16",9.22,11.9,35.3,65.9,50.3461384246781,43.4,28.6,14.4,12.8,28.9,52.8,30.9436398955662
"17",19.8,13,65.4,64.3544078368601,51.9,21,23.1,23.8,55.7,17.9,27.6820129876552,61
"18",12.9681741829431,23.3749928400291,66.5,88,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
"19",11.2126698984527,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119
"20",13.8463045043037,16.4,26.4,86.4,65,22.9,18.5,11.9,55.4,33.4525836708824,21.6,42.6
"21",21.9,28.8,24.1694917022126,89,93.5,51.6,37.1,41,53,63.3,27.6,26.1766467224655
"22",34.3,26.1,31.4,112.902469889228,62.6,119,71.4,21.4,27.9,54.6,56.7,20
"23",18.1,23.4,105,181,73.4,36.8,27.4,18.5,13.8,26.8875141254718,27.8492759060096,23.8
"24",15.6,28.5,117,171,30.2,14.6,26.2,12.2,13.6,9.7,9.9,11.8
"25",11.9,51.935136149045,80,72.8,22.3185984048817,21.3678378197761,48.1,31.5708758393953,55.3,22.7477568962001,34.0380038851229,18.1
"26",27.3,95.7,83.6,46.6,23.1736912507792,36.5,24.1,63.3,29.9,44.7,71.5,11.7209490036854
"27",37.9,13.9,37.1,75.7,33.1,13,29.8227590471713,15.3,9.85,21,23,9.93
"28",23.8767815950923,36.1,52.353293444931,113,51.5,20.5,47.2194755671549,31.5,16.6,19.8,39.3,8.42275569527889
"29",19.2,32.5,88.1,136,107,53.7332125213549,83.1,31.6126915689839,24.8,15.6,15.4,10.212553479623
"30",26.6784354775287,26.5,106,205,62.9,108,45.8,44.1,31.1,15,29,16
"31",44.6,20.6987861463585,76.6,37.1,33.5,26.8,18.3,18.1,54.2,39.6,20.4478917688269,40.5
"32",30.9,23,101,137,67.2,32.7,44.5,24.4,15.4,16.6,19.9,48.1
"33",40.979414996831,43.7,71.8812391628086,76.1,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
"34",67.1,53,70.9,84.9,22.3714153299026,33.4017797962277,26.7202512071173,35.2,25.3,11.7502200143975,11.6247728256316,16.3081345395552
"35",37.5,21.6,43.5,67.8251133927141,31,38.1785053491724,35.6,21.1,11.2,10,8.6,12.1
"36",9.6,8,29.8,77.3,40.3,57.9,10.9,8.4,7.9,8.7,9.57580207579009,9.8
"37",9.6,15.7,26.2184624520541,44.8682778485711,22,31.2757108969821,16,12.8,19.4,14.1,14.3,12
"38",22.7,33.5,32.9,30,26,16.8941293974371,37.8,18.3,10.4792537375035,12.5,10.4,14.2
