"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",16.7,73.3,73.9114540232683,72.2,45.5,25.9042048386312,19.2873699070243,16.3,18.5,12.9,26,16.7532629119408
"2",10.5,48.3,34.5671197162977,53.9,52.1538387349501,38.5,53.7,23.1502537638114,86.8,30.9,16.1,47.3
"3",56.4,60.3,92.2,199.326995921003,51.3,27.7,25,23.3286410040878,15.6,13.5,12.9931671415172,16.5
"4",10.1,14,47.9,112,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
"5",15.4693632995615,20.8,146,200.923914120742,100,37.2,59.5,32.5,22.6,38.3,43.1,81.3
"6",17.7973819344194,23.4047762425241,36.5,72.3272599161336,69.2,31.7,51.9,31.3,14.1,13.1,16.096455868273,13.2
"7",19.8,26.2,18.9602098175212,56.9,44.4,40.4,23.6,9.44141060301055,6.88758642350769,6.96497503500778,9.3,8.7
"8",8.59,11.9,17.9,45.6,118,79.5,47.4,44.5727988614801,15.8951240215731,16.7,15.8,18.5
"9",78.7201001875842,11.3,91.2214990809008,149,102,27.0016174785909,51.4,17.9,14.2,10.8,15.6,18.7
"10",27.9,45.3223672570628,64.5,135,31,24.9821749795585,22.1,15.8,9.5,9.5,8.8,8
"11",11.2,33.2,24.5,92.8,53.6,47.5,33.4968265682657,12.2,8.9,9,11.1,13.4
"12",13.7,17.8,69.1,101.352994999629,53.3,55.8,22.6437422974781,12.8,16,10.3,9,31.9331534150242
"13",9.44,27.9,61.7,73.4,50,24.4,16.7,21.8,31,16.7210039876634,14.3,31.5
"14",9.31872864141187,27.4,44.1,34,29.4,36.9,20.1,10.3,10.4,11.4,26.3,21.8
"15",21.7,10.3,27.2,27.1,68.5,56.2,42.2,37.1,13.2302461649989,23.7,26.3,13
"16",5.70877679231338,11.9,27.0742978566149,65.9,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
"17",19.8,13,87.3474884476147,110,59.8270468819279,21,35.5970928947471,19.4437902366266,13.5209125953157,17.9,18.8,61
"18",37.6,36.3,66.5,88,22.7759929906542,41.4,20.4,23.3833528037383,9.6,15.3,13.4,18.1
"19",19,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119
"20",45.2,8.49913478853057,26.4,86.4,65,22.9,38.6597812504842,11.9,55.4,17.5790249925593,21.6,42.6
"21",21.9,28.8,45.8,89,65.1506742032341,51.6,45.8852629410318,41,12.7714721142816,14.0647857461076,27.6,37.1
"22",34.3,14.0645933014354,31.4,88.6,62.6,119,71.4,21.4,27.9,54.6,56.7,20
"23",18.1,66.7621260528609,105,181,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
"24",32.9543255488558,28.5,117,171,30.2,14.6,26.2,12.2,13.6,9.7,9.9,9.44926897458232
"25",29.7223543266217,20.1,80,72.8,29.1,29.1,48.1,19.1,12.2661900102546,29.7,40.6,18.1
"26",27.3,95.7,83.6,46.6,29.3,36.5,24.1,63.3,29.9,44.7,71.5,22.4
"27",37.9,13.9,43.9188314919272,75.7,33.1,13,17.8,15.3,9.85,6.43063150912167,6.18920518692778,9.93
"28",8.7,36.1,92.9,113,51.5,20.5,19.9,14.0014826632397,16.6,19.8,10.822767680234,44.8
"29",90.9158502675633,32.5,88.1,136,107,33.3,42.6992647694625,68.6,24.8,15.6,15.4,24
"30",38.1267061322782,26.5,106,205,113.423772130891,108,45.8,44.1,22.2344367204475,15,48.0500953995834,64.5890775117589
"31",44.6,70.1,23.7929525319972,37.1,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
"32",30.9,45.4943818240306,101,137,67.2,32.7,25.0786204514739,17.6451190688081,15.4,24.9525972331248,19.9,48.1
"33",26.4,43.7,50.6,76.1,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
"34",67.1,53,70.9,84.9,79.3,66.8,75.4,35.2,94.4730167992933,19.1,24.7,83.1
"35",37.5,5.55080830411804,43.5,35.6239870340357,31,30.4,35.6,21.1,12.9433819556996,14.8433279308482,8.6,12.1
"36",9.49016393442623,8,29.8,77.3,40.3,57.9,28.3830692335612,8.4,7.9,8.7,9.8,11.3543032786885
"37",10.5030982839203,15.7,40.3,85.5506293628769,22,54.5,31.4125412183864,9.29657550644458,19.4,14.1,14.3,12
"38",22.7,4.67449780296746,32.9,30,26,22.8,37.8,18.3,10.9,12.5,10.4,14.2
