,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,70.80480087107887,72.2,45.5,37.6,22.861906225945685,16.3,18.5,12.9,16.295042727346214,19.67967919342083
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,40.10155063774147,86.8,30.9,16.1,47.3
2,56.4,60.3,92.2,86.7,51.3,27.7,41.30266205496853,46.4,15.6,13.5,14.3,29.996820888177695
3,10.1,14.0,47.9,112.0,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,59.5,32.5,42.153343719682,38.3,43.1,81.3
5,44.1,14.3,50.114814601998084,103.0,69.2,31.7,51.9,31.3,14.1,13.1,14.787486574282774,13.2
6,18.48876624737915,26.2,54.5,110.67117651408233,44.4,40.4,23.6,25.9,18.665858925803395,10.0,9.3,8.7
7,8.59,11.9,17.9,45.6,118.0,53.865474955767425,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,42.78722555878884,149.0,102.0,85.6,39.92270949788719,17.9,22.063448260087583,16.80156593125978,15.6,18.7
9,27.9,25.71088419782981,50.99525443337357,135.0,41.3504462106197,15.8,22.1,15.8,9.5,9.5,8.8,8.0
10,11.2,33.2,24.5,92.8,53.6,39.58859997373915,17.9,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,33.81744759969279,21.3,12.8,16.0,17.575590487287133,18.272760332660084,25.49966838297183
12,9.44,27.9,46.86102343681053,114.10358170060837,50.0,47.88500135722098,16.7,18.544622972143607,31.0,17.1,14.3,31.5
13,15.7,27.4,44.1,97.67455799241023,29.4,36.9,20.1,14.832524134751445,10.4,11.4,26.3,21.8
14,21.7,10.3,40.740767349572636,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13.0
15,9.22,11.9,35.3,65.9,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
16,19.8,13.0,56.11130272841669,110.0,51.9,21.0,28.33586301395426,23.8,55.7,17.9,18.8,31.08385740443035
17,37.6,36.3,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,13.4,21.17550957472885
18,19.0,42.9,56.9,100.72797540036386,42.84244614946365,33.99358941580794,23.7,14.4,15.345762397722545,16.7,17.094738816717825,23.191819216289414
19,45.2,16.4,26.4,86.4,65.0,22.9,18.5,11.9,55.4,21.23219214783291,21.6,42.6
20,21.9,27.415885699137366,45.8,86.87210132296275,93.5,51.6,37.1,41.0,53.0,63.3,54.24228513823063,37.1
21,34.3,26.1,31.4,88.6,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,22.393646256402462,23.4,55.290191206801275,181.0,73.4,36.8,27.4,20.746315761556897,22.65710940204443,17.591373928648768,19.576943536407256,23.8
23,15.6,28.5,53.84283101271013,171.0,30.2,14.6,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,33.36233010229003,55.3,29.7,35.75339343430383,18.1
25,27.3,95.7,83.6,46.6,51.3025843327826,36.5,24.1,20.74397122682874,29.9,44.7,71.5,22.4
26,37.9,13.9,37.1,75.7,33.1,13.0,17.8,15.206070108064047,9.85,21.0,23.0,26.04675394564535
27,8.7,36.1,92.9,113.0,49.31816453071161,46.85936763614128,19.9,31.5,16.6,19.8,39.3,44.8
28,28.205329013083038,32.5,61.9576649309125,136.0,107.0,33.3,83.1,68.6,24.8,19.577578410045422,15.4,24.0
29,26.5,26.5,47.24630179062916,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,57.98341524622082,41.476736566225014,18.3,18.1,44.91239334387094,39.6,52.7,40.5
31,28.95325343523856,23.0,101.0,113.31239964180811,67.2,32.7,47.5897879471287,24.4,15.4,16.6,19.9,48.1
32,26.4,43.7,66.08099608051567,76.1,22.5,41.7,28.3,23.1,21.14422567132153,18.1,20.35161977478893,26.9
33,67.1,53.0,106.829400039593,84.9,79.3,66.8,75.4,35.2,25.3,19.1,24.7,83.1
34,37.5,21.6,43.5,62.9,31.0,30.4,35.6,28.284810416266264,11.2,10.0,8.6,12.1
35,9.6,8.0,29.8,77.3,40.3,57.9,10.9,15.49707014249977,14.54526248346192,8.7,9.8,9.8
36,9.6,15.7,40.3,88.32732199001217,22.0,54.5,22.104421141556735,12.8,19.4,14.1,14.3,12.0
37,22.7,33.5,56.92806171271402,30.0,26.0,22.8,37.8,34.27761930615199,21.70460072227693,12.5,10.4,14.2
