"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",16.7,73.3,50.5,72.2,45.5,37.6,22.6,16.3,18.5,12.9,26,14.2
"2",35.2211906572969,40.5088118506162,46.9446565555033,86.0640355719573,134,38.5,53.7,18.1,86.8,30.9,16.1,47.3
"3",56.4,60.3,92.2,86.7,51.3,27.7,25,46.4,40.2596166975743,18.9311974596189,14.3,16.5
"4",10.1,14,47.9,112,63.4210136475614,35.9516392417768,28.958703584625,37.301828800987,18.8,23.2617484411322,27.8677951430978,36.3
"5",23.4,20.8,146,67.9,100,37.2,59.5,32.5,22.6,38.3,43.1,81.3
"6",44.1,14.3,36.5,103,69.2,31.7,27.8586385847926,27.9148566315842,14.1,13.1,12.9,13.2
"7",19.8,26.2,54.5,67.5365949597736,44.4472469921966,40.4,23.6,25.9,10.9,10,9.3,8.7
"8",7.13247776812947,9.56196951272481,18.0674811543628,66.2844333556505,53.5199443157524,46.7681555513667,35.3822272263129,23.2960914984287,14.1,16.7,15.8,18.5
"9",11.2,11.3,23.5,149,102,85.6,51.4,17.9,14.2,10.8,15.6,18.7
"10",27.9,20.7,64.5,135,31,15.8,22.1,15.8,9.5,9.5,5.70187052095355,9.92106226494227
"11",11.2,33.2,67.1299680480766,92.5769797863001,53.6,47.5,17.9,12.2,8.9,9,11.1,13.4
"12",10.0216286998972,36.6935748380737,69.1,134,53.3,55.8,21.3,12.8,16,10.3,9,16.9
"13",9.44,21.7624391397376,45.3209362247264,59.6225232298645,30.9222494923034,24.4,16.7,21.8,31,17.1,14.3,31.5
"14",15.7,27.4,44.1,34,29.4,36.9,23.7269873474661,18.3043164509009,10.4,11.4,26.3,21.8
"15",21.7,16.4614446032782,23.9351620410593,27.1,68.5,56.2,42.2,37.1,16.2,23.7,26.3,13
"16",9.22,11.9,35.3,57.1932616902246,52.064632033799,30.1997790916889,25.5107852407778,14.4,12.8,28.9,22.5822615229941,37.440846969654
"17",18.6369938041536,26.8834382289327,65.4,110,51.9,21,23.1,23.8,55.7,17.9,18.8,61
"18",37.6,36.3,66.5,88,55.9,33.9514484207296,21.9470490436929,12.2,9.6,15.3,13.4,18.1
"19",19,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119
"20",45.2,16.4,26.4,61.5207474403887,66.0884029438404,35.3853992479681,18.058404975781,11.9,55.4,36.4,39.284299278717,52.3896444704809
"21",21.9,28.8,45.8,89,93.5,51.6,38.9939457041906,20.937457870979,30.412447346799,38.7740355021072,27.6,37.1
"22",16.1744016020257,19.772146103489,43.5228870999265,89.1782545449952,62.6,119,71.4,21.4,27.9,54.6,56.7,20
"23",18.1,31.0416162971001,88.0010175031313,181,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
"24",15.6,28.5,81.8929200415398,102.747485351038,30.2,14.6,14.8953042103425,20.5353136472012,13.6,9.7,9.9,11.8
"25",7.06470160511058,32.654352000908,80,66.6102229907213,32.5970655050236,29.1,25.3682005659366,50.3725449083239,55.3,29.7,40.6,18.1
"26",27.3,34.7785841174908,64.3563655030698,46.6,28.5467797814679,16.9641838193523,24.1,63.3,35.1970858321037,34.8792452142527,71.5,22.4
"27",37.9,13.9,37.1,75.7,33.1,13,17.8,15.3,9.85,21,23,9.93
"28",8.7,21.7051218495395,60.2478234352218,113,51.5,20.5,26.933020534391,25.5664734489995,16.6,19.8,39.3,44.8
"29",19.6390744406958,42.9045888085507,88.1,136,107,33.3,83.1,68.6,24.8,15.6,15.4,24
"30",22.93178973686,55.1830884099968,106,205,62.9,108,45.8,44.1,19.6788455040314,20.4211859611921,23.6159961290078,31.3877585075554
"31",44.6,70.1,76.6,37.1,33.5,45.5737253805179,21.9827320085888,18.1,8.16304335444079,35.3872712562766,52.7,40.5
"32",31.132939365063,23,101,137,70.4563170402601,44.8485619991665,24.1189828378259,18.7201477273303,15.4,16.6,19.9,48.1
"33",41.8831464318213,21.7573148879055,60.8369199009799,67.2627746010826,64.3547279272723,49.2817989957961,43.3327192135853,23.1,11.4,8.1934871218185,11.570434588546,26.9
"34",31.7007506146263,32.501024959285,45.3861737749656,59.9314980788737,79.3,66.8,75.4,35.2,25.3,19.1,24.7,83.1
"35",37.5,27.4769309709677,30.3278600550271,62.9,31,30.4,35.6,21.1,11.2,10,8.6,12.1
"36",9.6,8,29.8,77.3,40.3,57.9,10.9,8.4,7.9,8.7,9.8,9.8
"37",9.6,15.7,40.3,87.9,22,54.5,16,12.8,19.4,14.1,14.3,12
"38",10.2932729959887,17.1910839492896,32.9,30,26,24.6966037273762,10.7819500063363,18.3,10.9,12.5,10.4,14.2
