,0,1,2,3,4,5,6,7,8,9,10,11
0,40.0836,24.763759999999998,50.5,72.2,45.5,37.6,30.816119999999984,21.414,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,60.3,92.2,109.91089999999997,43.337,62.50859000000002,40.999,46.4,35.34698,16.138,14.3,16.5
3,28.297024,38.922,47.9,112.0,68.3,88.7,42.01607000000002,28.984,18.8,43.7,63.5,36.3
4,23.4,20.8,146.0,67.9,100.0,37.2,49.62018,32.217,22.6,38.3,43.1,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,25.9,10.9,10.0,9.3,8.7
7,8.59,11.9,17.9,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,70.86228000000004,78.693,85.6,51.4,17.9,14.2,10.8,15.6,18.7
9,27.9,20.7,64.5,135.0,31.0,15.8,22.1,15.8,9.5,9.5,8.8,8.0
10,11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,8.9,9.0,11.1,13.4
11,13.7,17.8,69.1,134.0,53.3,32.29902000000001,22.901,12.8,16.0,10.3,9.0,16.9
12,9.44,27.9,57.79261000000001,74.29,50.0,24.4,16.7,21.8,31.0,17.1,14.3,31.5
13,26.143865000000005,27.4,44.1,83.93528,46.614,44.92000000000001,24.311,10.3,19.412740000000007,19.593,26.3,21.8
14,20.9576,27.402,46.20903000000002,27.1,68.5,56.2,39.42025,23.3,16.2,20.180970000000016,31.814,13.0
15,9.22,11.9,35.3,81.89366000000001,50.904,55.108929999999994,26.078,14.4,12.8,28.9,52.8,22.8
16,19.8,13.0,65.4,110.0,51.9,21.0,23.1,19.019769999999998,21.419,17.9,18.8,61.0
17,37.6,36.3,66.5,92.25614000000002,44.361,41.4,20.4,12.2,9.6,15.3,13.4,18.1
18,35.21338399999999,28.984,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119.0
19,45.2,48.68868000000001,61.751,86.4,65.0,22.9,18.5,11.9,55.4,36.4,44.63341999999997,36.0534
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,24.048290000000016,35.665,63.3,27.6,37.1
21,34.3,26.1,31.4,88.6,62.6,119.0,43.21879000000002,38.678,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,181.0,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,39.00698000000002,25.384,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,19.1,55.3,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,60.761180000000024,44.67,63.3,29.9,44.7,44.11541999999996,36.858
26,37.9,13.9,56.46957000000001,93.938,33.1,13.0,17.8,15.3,9.85,21.0,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,20.5,19.9,31.5,16.6,19.8,39.3,44.8
28,31.0048,51.350280000000005,88.1,136.0,107.0,33.3,83.1,68.6,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,33.5,26.8,18.3,18.1,54.2,39.6,52.7,40.5
31,21.852899999999995,28.524,101.0,137.0,65.09102000000003,53.859,44.5,24.4,24.866485000000008,19.865,19.9,48.1
32,26.4,43.7,50.6,76.1,22.5,41.7,28.3,19.535119999999992,23.2035,18.1,19.2,26.9
33,67.1,45.87308000000004,94.555,84.9,79.3,66.8,75.4,35.2,34.53927500000002,23.618,24.7,83.1
34,37.5,21.6,43.5,85.50766,46.519,38.563,28.881140000000002,21.1,11.2,10.0,8.6,12.1
35,21.4241,27.408099999999994,39.683,77.70414,40.3,57.9,10.9,8.4,7.9,8.7,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,14.3,12.0
37,22.7,33.5,32.9,30.0,26.0,22.8,37.8,21.776970000000002,17.314,12.5,10.4,14.2
