,0,1,2,3,4,5,6,7,8,9,10,11
0,16.7,73.3,50.5,72.2,45.5,37.6,22.6,16.3,18.5,12.9,26.0,14.2
1,10.5,48.3,64.8,53.9,134.0,38.5,53.7,18.1,86.8,30.9,16.1,47.3
2,56.4,42.88070297241211,92.2,86.7,51.3,27.7,25.0,46.4,15.6,13.5,14.3,16.5
3,23.634153366088867,14.0,47.9,112.0,68.3,88.7,57.2,38.7,32.60966873168945,43.7,23.91249656677246,36.3
4,23.4,20.8,146.0,193.673095703125,100.0,36.70462417602539,30.565853118896484,32.5,31.555227279663086,38.3,25.698848724365234,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,13.2
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,25.9,10.9,10.0,9.126490592956543,14.964098930358887
7,16.338674545288086,11.9,17.9,45.6,118.0,79.5,47.4,16.2,14.1,20.934194564819336,15.8,64.32630157470703
8,11.2,11.3,23.5,149.0,105.68392181396484,85.6,51.4,17.9,14.2,10.8,15.6,18.7
9,27.9,35.546043395996094,64.5,135.0,31.0,15.8,22.1,15.8,9.5,9.5,8.8,12.234268188476562
10,11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,7.965291976928711,9.0,11.1,13.4
11,13.7,31.012977600097656,69.1,134.0,53.3,55.8,21.3,12.8,16.0,10.3,9.0,16.9
12,9.44,27.9,61.7,77.88805389404297,50.0,24.4,16.7,16.00164222717285,31.0,17.1,14.3,31.5
13,15.7,27.4,60.826602935791016,84.42868041992188,29.4,36.9,20.1,10.3,10.4,11.4,26.3,21.8
14,21.7,10.3,27.2,27.1,68.5,56.2,42.2,37.1,16.2,23.7,20.400827407836914,13.0
15,9.22,11.9,35.3,65.9,24.4,43.4,19.361095428466797,14.4,12.8,28.9,52.8,22.8
16,19.8,13.0,31.913061141967773,110.0,78.9205551147461,21.0,23.1,23.8,55.7,17.9,20.316434860229492,61.0
17,37.6,36.3,66.5,88.0,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
18,19.0,42.9,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119.0
19,45.2,16.4,26.4,86.4,65.0,50.850677490234375,26.035423278808594,11.9,55.4,41.02911376953125,21.6,16.382707595825195
20,21.9,28.8,45.8,89.0,93.5,50.71874237060547,37.1,41.0,53.0,63.3,45.437416076660156,37.1
21,34.3,26.1,68.53923034667969,88.6,62.6,119.0,71.4,21.4,27.9,54.6,56.7,20.0
22,18.1,23.4,105.0,181.0,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
23,15.6,28.5,117.0,171.0,30.2,14.6,26.2,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,41.47849655151367,42.749305725097656,18.521568298339844,19.1,55.3,29.7,40.6,22.159709930419922
25,47.07587814331055,31.229652404785156,83.6,46.6,29.3,36.5,24.1,63.3,29.9,44.7,71.5,22.4
26,37.9,17.181835174560547,37.1,75.7,31.62217903137207,13.0,17.8,21.31597328186035,32.8505744934082,21.424957275390625,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,32.2193489074707,19.9,31.5,16.6,26.343019485473633,39.3,44.8
28,39.121498107910156,32.5,88.1,136.0,107.0,33.3,47.72908401489258,25.474170684814453,24.8,15.6,21.552671432495117,78.69659423828125
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,29.0,16.0
30,44.6,70.1,76.6,37.1,60.94203186035156,26.8,18.3,27.284832000732422,24.675472259521484,15.908256530761719,52.7,40.5
31,30.9,23.0,101.0,137.0,67.2,32.7,44.5,24.4,15.4,16.6,19.83990478515625,48.1
32,26.4,43.7,50.6,76.1,22.5,41.7,21.813356399536133,23.1,11.4,18.1,19.2,28.560035705566406
33,67.1,53.0,65.44873809814453,84.9,82.4018325805664,66.8,75.4,35.2,25.3,19.1,24.7,83.1
34,37.5,21.6,38.05076599121094,62.9,31.0,30.4,35.6,21.1,11.2,10.0,8.6,12.1
35,9.6,31.838546752929688,29.8,77.3,49.84708786010742,57.9,10.9,14.024080276489258,7.9,8.7,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,19.4,14.1,14.3,12.0
37,22.7,33.5,32.9,30.0,26.0,22.8,37.8,18.3,10.9,12.5,10.4,14.2
