,0,1,2,3,4,5,6,7,8,9,10,11
0,21.244773864746094,73.3,50.5,72.2,45.5,37.6,22.6,16.3,18.5,12.9,11.236313819885254,14.2
1,10.5,48.3,64.8,95.54129791259766,134.0,38.5,53.7,18.1,16.373804092407227,30.9,16.1,20.103097915649414
2,24.786020278930664,60.3,92.2,86.7,39.876197814941406,27.7,25.0,18.382423400878906,15.6,13.5,14.3,16.5
3,10.1,14.0,37.27201461791992,112.0,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
4,13.614559173583984,20.8,146.0,171.4521942138672,100.0,37.2,59.48896408081055,32.5,15.932453155517578,32.965171813964844,43.1,81.3
5,44.1,14.3,36.5,103.0,69.2,31.7,51.9,31.3,14.1,13.1,12.9,22.503467559814453
6,19.8,26.2,54.5,56.9,44.4,40.4,23.6,19.675142288208008,10.9,10.0,9.3,8.7
7,8.59,83.43634033203125,17.9,45.6,118.0,79.5,47.4,16.2,14.1,16.7,15.8,18.5
8,11.2,11.3,23.5,117.39790344238281,102.0,85.6,51.4,17.9,11.048233985900879,10.8,15.6,22.41820526123047
9,27.9,20.7,64.5,135.0,51.03689193725586,43.87775802612305,22.1,15.8,9.5,9.5,8.8,8.0
10,11.2,33.2,51.164913177490234,114.00762176513672,53.6,47.5,19.771982192993164,12.2,14.340350151062012,9.0,11.1,17.88558578491211
11,11.792738914489746,17.8,69.1,134.0,53.3,55.8,21.3,15.49057388305664,16.0,10.3,9.0,16.9
12,9.44,27.9,61.7,73.4,33.636329650878906,24.4,23.427011489868164,21.8,31.0,14.651578903198242,19.383777618408203,31.5
13,15.7,27.4,44.1,66.11760711669922,29.4,36.9,21.263147354125977,10.3,10.4,11.4,10.862377166748047,21.8
14,21.7,10.3,27.2,70.65072631835938,34.71086502075195,56.2,42.2,37.1,16.2,23.7,26.3,13.0
15,9.22,16.942840576171875,35.3,65.9,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
16,19.8,13.0,65.4,101.6095199584961,51.9,32.08393478393555,23.1,15.643977165222168,55.7,17.9,18.8,61.0
17,37.6,36.3,66.5,88.0,55.9,41.4,20.4,12.2,17.26067543029785,15.3,13.4,18.1
18,19.0,22.380027770996094,56.9,69.5,38.83543014526367,27.569496154785156,19.543001174926758,14.4,25.4,16.7,26.8,119.0
19,45.2,16.4,26.4,86.4,65.0,22.9,18.5,11.9,55.4,36.4,21.6,42.6
20,21.9,28.8,45.8,89.0,93.5,51.6,37.1,41.0,53.0,63.3,27.6,37.1
21,34.3,26.1,31.4,88.6,62.6,33.04814147949219,71.4,21.4,27.9,12.354240417480469,10.743836402893066,20.0
22,18.1,23.4,105.0,181.0,94.35052490234375,36.8,50.3600959777832,18.5,13.8,13.9,14.3,23.8
23,15.6,20.085933685302734,117.0,171.0,52.80154800415039,14.6,30.195207595825195,12.2,13.6,9.7,9.9,11.8
24,11.9,20.1,80.0,72.8,29.1,29.1,48.1,19.1,15.582386016845703,29.7,40.6,18.1
25,27.3,95.7,83.6,46.6,29.3,47.74411392211914,24.1,63.3,29.9,44.7,71.5,22.4
26,37.9,13.186463356018066,37.1,75.7,33.1,51.39764404296875,17.8,15.3,12.09111213684082,21.72954559326172,23.0,9.93
27,8.7,36.1,92.9,113.0,51.5,20.5,19.9,31.5,16.6,19.8,39.3,44.8
28,19.2,23.064918518066406,88.1,136.0,107.0,33.3,83.1,31.546911239624023,24.8,15.6,15.4,24.0
29,26.5,26.5,106.0,205.0,62.9,108.0,45.8,44.1,31.1,15.0,12.356983184814453,16.0
30,44.6,70.1,76.6,37.1,33.5,26.8,18.3,25.685667037963867,54.2,39.6,52.7,40.5
31,16.877090454101562,20.78120994567871,101.0,75.26647186279297,42.96372604370117,32.7,44.5,24.4,15.4,16.6,19.9,48.1
32,26.4,43.7,50.6,79.96994018554688,22.5,41.7,28.3,23.1,11.4,18.1,19.2,26.9
33,67.1,43.053611755371094,70.9,84.9,79.3,66.8,75.4,35.2,25.3,19.1,17.244754791259766,18.917327880859375
34,17.600366592407227,21.6,43.5,62.9,31.0,30.4,35.6,21.1,11.31089973449707,10.0,8.6,12.1
35,9.6,8.0,29.8,73.6547622680664,40.3,57.9,10.9,8.4,7.9,12.600137710571289,9.8,9.8
36,9.6,15.7,40.3,87.9,22.0,54.5,16.0,12.8,11.442322731018066,14.1,14.3,21.422605514526367
37,37.273746490478516,16.071279525756836,32.9,73.77120208740234,26.0,39.51744079589844,37.8,18.3,10.9,12.5,10.4,14.2
