,0,1,2,3,4,5,6,7,8,9,10,11
0,0.634,0.4600414073712041,0.981,1.63,0.966,1.4,0.820448662413585,0.314,0.33392643891775287,0.271,0.326,0.21
1,0.236,0.508,1.78,1.46,2.73,1.46,1.94,0.49881049219558554,3.69,0.456,0.338,0.793
2,1.04,1.65,3.15,2.74,1.13,0.98,0.692,2.38,0.358,0.415,0.3735425790270819,0.355
3,0.357,0.31,2.39,4.57,1.52,3.08,2.7,1.99,0.51,0.805,1.43,0.923
4,0.547,0.581,5.12,2.69,3.11,0.817,1.81,0.989,1.52,0.835,0.654,2.42
5,0.4182597366515993,0.588,1.86,4.28,1.71,0.734,1.74,1.61,0.47221770604136776,0.524,0.422,0.44070413690163374
6,0.347,0.323,0.852,1.9581546449237306,0.559,1.14,0.728,0.46078763493431885,0.36318682041681905,0.435,0.37781402216841886,0.432
7,0.5,0.472,1.31,2.72,3.89,2.59,1.21,0.506,0.295,0.302,0.372,0.428
8,0.387,0.272,2.51,3.18,1.0887087701382665,1.2831636959192352,1.94,0.377,0.392,0.351,0.374,0.375
9,0.37,0.351,1.52,1.72,0.402,0.433,0.8447772355256714,0.4724584483037742,0.235,0.298,0.279,0.227
10,0.3603926379910905,0.4455023289085184,0.545,1.23,1.0,1.06,0.464,0.347,0.201,0.236,0.286,0.3581980205868021
11,0.3813876116083734,0.4788916243198496,1.63,3.25,1.89,2.38,0.663,0.302,0.432,0.265,0.274,0.307
12,0.253,0.58,1.5,1.13,1.16,0.636,0.309,0.296,0.601,0.277,0.22,0.287
13,0.138,0.39,0.666,0.749,1.0697494449045148,0.729,0.399,0.269,0.246,0.279,0.381,0.301
14,0.348,0.163,0.599,0.539,1.54,1.78,0.9180589360283437,1.8,0.468,0.4231519967953695,0.621,0.3
15,0.338,0.338,0.816,1.79,0.62,1.69,0.537,0.39519170571618023,0.317,0.494,0.37769042884003695,0.28
16,0.318,0.158,1.35,3.54,0.974,0.427,0.917,1.74,1.58,0.686,0.38715369655863746,1.69
17,0.996,0.732,1.32,1.38,0.727,1.37,0.518,0.414,0.287,0.487,0.3696170941574312,0.3949566638692224
18,0.325,0.724,1.28,2.269744039690404,2.7,0.895,0.342,0.363,0.4183721743526331,0.478,0.36084446724622343,3.39
19,1.69,0.4798861253206549,0.725,5.23,2.32,0.666,0.497,0.424,1.45,0.627,0.467,0.898
20,0.496,0.611,1.43573202017328,3.36,2.63,1.1482772998716975,0.885,1.43,1.23,0.4334117046773212,0.591,0.42119088699427715
21,0.63,0.689,0.674,1.5,1.17,2.1,2.07,0.443,0.595,1.0,0.733,0.393
22,0.344,0.414,2.2,3.83,1.130079720100979,1.46,0.863,0.575,0.383,0.42,0.408,0.438
23,0.388,0.531,2.7,3.08,0.488,0.402,0.446,0.208,0.277,0.181,0.254,0.239
24,0.194,0.27,1.03,0.846,0.491,1.0815457839531504,1.68,0.5184585648058416,1.69,0.858,0.833,0.506
25,1.12,1.74,1.39,0.819,0.583,1.1930199715214174,0.8984345550232201,2.49,0.938,1.28,1.92,0.572
26,0.35021166383764274,0.376,1.4647098309058397,2.58,0.49,1.0350936783168294,0.387,0.373,0.35153219608944014,0.388,0.3,0.23
27,0.237,0.668,2.11,2.21,1.04,0.375,0.52,0.49665277298045213,0.438,0.502,0.3606809460881241,0.73
28,0.4138136518780467,0.462,2.28,2.4,2.6,1.04,3.82,2.56,0.99,0.378,0.345,0.395
29,0.319,0.328,3.56,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.348
30,0.537,0.762,1.13,0.695,0.587,0.441,0.371,0.413,1.41,1.75,0.38757932747457724,0.40158010093953916
31,0.382,0.452,2.61,3.27,1.88,0.898,1.65,0.658,0.368,0.418,0.348,1.22
32,0.778,1.02,1.04,1.51,0.464,1.49,0.791,0.4401950325250683,0.269,0.407,0.323,0.413
33,1.63,0.4884628235257226,2.12,1.92,2.09,2.24,3.19,1.07,0.39935697705733103,0.42770337647160367,0.729,1.85
34,0.822,0.45640977114159614,1.24,2.2,0.643,1.86,1.06,0.468,0.293,0.391,0.3625599122639505,0.318
35,0.245,0.229,0.558,1.92,1.1,1.35,0.225,0.2,0.204,0.262,0.3597500855457687,0.267
36,0.27,0.342,1.42,2.24,0.466,2.74,0.686,0.40300145315114877,0.321,0.327,0.35505743599020145,0.209
37,0.255,0.4375380700229615,0.518,0.76,0.909,1.2382997274728864,2.61,0.856,0.326,0.4030562240810143,0.344,0.33
