"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.634,1.43,0.981,2.36938256406132,0.966,1.4,0.926558431430559,0.299872260993961,0.388,0.306481501623809,0.326,0.21
"2",0.236,0.508,1.78,1.46,2.73,1.46,1.94,0.491,3.69,1.49492696629213,0.338,0.793
"3",1.04,1.65,3.15,3.96916814077763,1.13,0.98,0.692,2.38,0.358,0.901593849172113,0.394,1.31108268903514
"4",0.357,0.31,2.39,4.57,1.52,3.08,2.7,1.99,0.51,0.805,1.43,0.923
"5",0.547,0.581,5.12,2.69,3.11,0.817,1.81,0.989,1.52,0.835,0.654,1.4708439247816
"6",1.48,0.790656838679724,1.86,4.28,1.71,0.734,1.74,1.61,0.616,0.524,0.422,0.38
"7",0.347,0.323,0.914922980719093,0.925,0.559,1.14,0.728,1.23,0.41,0.32385931872619,0.54742253658088,0.432
"8",0.5,0.472,1.26820458922396,2.86218650412014,3.89,2.59,1.21,0.506,0.295,0.302,0.325387692301455,0.428
"9",0.387,0.272,2.51,3.18,2.33373069865689,2.91,1.94,0.377,0.392,0.351,1.27021628026897,1.00350420042246
"10",0.37,0.351,1.52,1.72,0.402,0.433,0.55,0.358,0.235,0.298,0.279,0.227
"11",0.302,0.45,0.545,1.23,1,1.06,0.338353964338919,0.347,0.201,0.236,0.139832558414576,0.446
"12",0.414,0.422,1.63,3.25,1.89,2.38,0.663,0.302,0.432,0.265,0.274,0.413332534791557
"13",0.253,0.58,1.5,1.13,1.16,0.279715346041543,0.309,0.296,0.601,0.277,0.223909224371076,0.287
"14",0.138,0.39,0.666,0.749,0.7,0.729,0.399,0.269,0.246,0.109070731581359,0.381,0.301
"15",0.348,0.72137254225595,0.599,0.539,1.54,1.78,2.97,1.8,0.468,0.605,0.621,0.3
"16",0.338,0.338,0.816,1.79,0.62,1.69,0.537,0.701,0.317,0.494,0.485,0.28
"17",0.318,0.158,1.35,3.54,0.974,3.89333378407802,0.917,1.74,1.58,0.686,0.505,1.69
"18",0.996,0.341439311599425,1.32,2.16474491503958,0.727,1.37,0.518,0.414,0.287,0.487,0.386,0.327
"19",0.325,0.435406421170749,1.28,1.16,2.7,0.895,0.342,0.363,0.845,0.478,0.693,3.39
"20",1.69,0.468,0.725,5.23,2.32,4.5068739267977,0.497,1.20681051835035,1.45,0.627,0.467,0.898
"21",0.496,0.611,1.49,3.36,2.63,1.1,0.885,1.43,1.23,0.938,0.591,0.761
"22",0.30484876199152,0.689,0.674,1.5,1.17,2.1,2.07,0.443,0.595,1,0.733,0.393
"23",0.344,0.414,2.2,3.83,0.717654687795265,4.21968636171465,0.863,0.575,0.383,0.42,0.500510243634037,0.438
"24",0.519238595339678,0.531,2.7,3.08,0.488,0.402,0.446,0.208,0.277,0.181,0.391533967837217,0.239
"25",0.194,0.27,1.02161512531145,0.846,0.491,0.852,1.68,0.47,1.69,0.858,0.833,0.506
"26",1.12,0.450421607518191,1.39,0.819,0.583,0.974,2.2698972006051,2.49,0.445812177613389,0.317358668172375,1.92,0.572
"27",0.669,0.376,1.38,2.58,0.49,0.238,0.387,0.373,0.267606791641057,0.388,0.3,0.23
"28",0.237,0.668,2.11,2.21,1.04,0.375,0.52,0.754,0.438,0.502,0.413665841584158,0.73
"29",0.384,0.462,2.28,2.4,2.6,1.04,3.82,0.992704535724557,0.99,0.378,0.345,1.71635830943031
"30",0.319,0.328,1.43631627906977,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.492853625170999
"31",0.537,0.762,1.13,0.695,0.450772794739948,0.441,0.371,0.413,1.41,1.75,1.48453476140772,0.879
"32",0.382,0.452,2.61,3.27,0.78048336954705,0.898,1.65,0.695057329099114,0.368,0.418,0.348,1.22
"33",0.243811735103888,1.02,1.04,2.02273439493596,0.464,1.49,0.791,0.256,0.269,0.407,0.323,0.413
"34",1.63,0.633,2.12,1.92,2.09,2.24,3.19,1.07,0.626522137745975,0.446,0.947993665796175,1.85
"35",0.822,0.347,1.24,2.2,0.643,1.86,0.606266107510484,0.468,0.293,0.391,0.302,0.318
"36",0.245,0.458367173151192,0.558,1.25287027327993,1.1,1.35,0.225,0.2,0.204,0.262,0.29,0.267
"37",0.27,0.342,1.42,2.24,0.466,2.74,0.618276782310332,0.4,0.321,0.327,0.325,0.209
"38",0.255,0.573,0.518,0.76,0.909,1.83,2.61,0.856,0.326,0.303,0.493272170974518,0.33
