,0,1,2,3,4,5,6,7,8,9,10,11
0,0.634,0.45528000000000046,0.981,1.63,0.966,1.2319999999999995,0.752629999999999,0.314,0.388,0.271,0.326,0.21
1,0.236,0.508,1.78,1.46,2.73,1.46,1.94,0.47909000000000007,0.4026200000000003,0.456,0.338,0.793
2,0.3713600000000003,1.65,3.15,2.74,1.13,1.2191999999999996,0.692,2.38,0.358,0.415,0.394,0.355
3,0.357,0.31,2.39,4.57,1.52,3.08,2.7,1.99,0.51,0.805,1.43,0.923
4,0.547,0.581,5.12,2.69,3.11,0.817,1.81,0.989,1.52,0.835,0.654,0.5334600000000005
5,1.48,0.588,1.86,2.1559999999999993,1.71,0.734,1.74,1.61,0.616,0.42473,0.422,0.38
6,0.347,0.323,0.852,0.925,0.559,1.14,0.728,1.23,0.41,0.41846999999999973,0.328,0.4043000000000002
7,0.5,0.472,1.31,2.72,3.89,2.59,0.7650699999999994,0.506,0.295,0.302,0.372,0.428
8,0.36926000000000025,0.272,1.3837999999999988,3.18,1.1557799999999998,2.91,0.7465299999999995,0.377,0.392,0.351,0.374,0.375
9,0.37,0.351,1.52,1.72,0.402,0.433,0.55,0.358,0.235,0.298,0.279,0.227
10,0.302,0.45,0.545,1.23,1.0,1.06,0.464,0.46108000000000027,0.201,0.42514999999999964,0.286,0.446
11,0.414,0.422,1.63,2.210900000000001,1.89,2.38,0.663,0.302,0.432,0.265,0.274,0.307
12,0.253,0.45390000000000036,1.5,1.13,1.16,0.636,0.309,0.296,0.39535999999999993,0.277,0.22,0.287
13,0.138,0.39,0.666,2.1803500000000007,0.7,0.729,0.399,0.269,0.246,0.279,0.381,0.301
14,0.348,0.163,0.599,2.176189999999999,1.54,1.78,2.97,1.8,0.4232400000000001,0.605,0.621,0.3
15,0.338,0.338,0.816,2.1769,0.62,1.69,0.537,0.45806000000000036,0.317,0.494,0.485,0.28
16,0.318,0.158,1.35,3.54,0.974,0.427,0.917,1.74,1.58,0.686,0.505,0.41164000000000006
17,0.36814000000000036,0.732,1.32,1.38,1.1306599999999996,1.37,0.518,0.414,0.287,0.42197999999999963,0.386,0.38988000000000006
18,0.3991500000000001,0.724,1.28,1.16,2.7,1.2153499999999997,0.342,0.363,0.845,0.478,0.41331999999999985,3.39
19,1.69,0.468,0.725,5.23,2.32,0.666,0.497,0.424,1.45,0.627,0.467,0.898
20,0.496,0.46407000000000037,1.49,3.36,2.63,1.1,0.885,0.47776000000000013,1.23,0.46635000000000004,0.591,0.761
21,0.63,0.689,1.4490999999999992,1.5,1.17,2.1,2.07,0.443,0.595,1.0,0.733,0.393
22,0.344,0.414,2.2,3.83,1.1338899999999992,1.46,0.863,0.575,0.383,0.42,0.408,0.438
23,0.388,0.531,2.7,3.08,0.488,0.402,0.446,0.208,0.277,0.181,0.3858799999999998,0.3952900000000002
24,0.194,0.27,1.5005999999999995,0.846,0.491,0.852,1.68,0.47,1.69,0.858,0.833,0.506
25,1.12,0.5189800000000003,1.39,0.819,0.583,0.974,0.975,2.49,0.938,1.28,1.92,0.572
26,0.3694000000000003,0.376,1.38,2.58,0.49,1.2436399999999992,0.7530899999999997,0.373,0.257,0.388,0.38551999999999986,0.23
27,0.237,0.668,2.11,2.21,1.04,0.375,0.8071099999999996,0.46972,0.438,0.53375,0.907,0.73
28,0.384,0.462,2.28,2.4,2.6,1.04,3.82,2.56,0.99,0.378,0.345,0.395
29,0.319,0.4494900000000004,1.3804999999999987,4.5,1.17,3.32,0.7457099999999997,0.889,0.3856400000000001,0.364,0.367,0.348
30,0.537,0.762,1.13,0.695,0.587,0.441,0.371,0.4554600000000001,1.41,1.75,1.35,0.879
31,0.382,0.452,2.61,3.27,1.88,0.898,0.7545099999999991,0.658,0.368,0.418,0.348,0.39117000000000024
32,0.778,1.02,1.04,1.51,0.464,1.49,0.791,0.256,0.269,0.407,0.323,0.413
33,1.63,0.633,2.12,1.92,2.09,2.24,3.19,0.4805100000000002,0.44,0.446,0.729,1.85
34,0.822,0.347,1.24,2.2,1.1329099999999999,1.86,1.06,0.468,0.293,0.391,0.302,0.39498000000000005
35,0.245,0.229,0.558,2.183900000000001,1.1,1.35,0.225,0.2,0.39287000000000005,0.262,0.29,0.267
36,0.27,0.342,1.42,2.24,0.466,2.74,0.686,0.4,0.321,0.327,0.325,0.209
37,0.255,0.573,0.518,0.76,0.909,1.83,2.61,0.856,0.326,0.303,0.344,0.33
