,0,1,2,3,4,5,6,7,8,9,10,11
0,0.8166654397299954,1.43,0.981,1.63,0.966,1.4,0.868,0.314,0.388,0.271,0.326,0.21
1,0.236,0.508,1.78,1.46,2.73,1.110830997540924,1.94,0.491,3.69,0.456,0.338,0.793
2,1.04,1.65,3.15,2.74,1.13,0.98,0.692,2.38,0.358,0.508735226951616,0.394,0.355
3,0.357,0.31,2.39,4.57,1.8779556104938138,3.08,2.7,1.99,0.51,1.1695077241599234,1.43,0.6420434013864506
4,1.0828792366412523,1.0693386720908773,5.12,2.69,2.32885561655241,0.817,1.81,1.6456744668490315,1.52,0.835,0.654,2.42
5,0.44203724864209404,0.588,2.597627964707535,4.28,1.7266678957947397,0.734,1.74,1.61,0.616,0.524,0.422,0.38
6,0.347,0.323,0.852,0.925,0.9829757673577899,1.14,0.728,1.23,0.41,0.435,0.328,0.432
7,0.5,0.472,1.31,2.72,0.7117067264410594,2.59,1.21,0.5020190050473734,0.295,0.302,0.372,0.428
8,0.387,0.272,2.51,3.18,1.4642968970628982,2.91,1.94,0.377,0.392,0.351,0.374,0.375
9,0.37,0.42709973660172273,1.52,1.72,0.402,1.0588416086020385,0.55,0.41737889452357996,0.235,0.298,0.279,0.227
10,0.302,0.45,1.215151151754638,1.23,1.0,1.2373858266574482,0.464,0.347,0.201,0.236,0.286,0.446
11,0.414,0.422,1.63,3.25,1.89,1.1104551216948904,0.663,0.302,0.432,0.265,0.274,0.6324113060961076
12,0.253,0.58,1.5,1.13,1.16,0.636,0.309,0.4980034429650155,0.5170870650283548,0.277,0.22,0.287
13,0.138,0.39,1.2419804181609118,0.749,0.7,1.221097463842929,0.399,0.591494739819288,0.246,0.279,0.381,0.301
14,0.348,0.163,0.599,0.539,1.54,1.78,2.97,1.8,0.468,0.605,0.621,0.3
15,0.338,0.338,0.816,1.79,0.62,1.69,0.537,0.701,0.317,0.494,0.3839376952569847,0.28
16,0.318,0.158,1.35,3.54,0.974,0.427,0.917,1.74,1.58,0.5517938474312032,0.505,0.5954653669048985
17,0.996,0.732,1.32,2.1608295716579957,0.727,1.3750596584217345,0.518,0.414,0.287,0.487,0.38073901210237826,0.327
18,1.0540353923594121,0.724,1.28,1.16,2.7,0.9924310584345025,0.342,0.363,0.845,0.478,0.45459055971907986,3.39
19,0.42388864892815464,0.468,2.564788474945706,5.23,2.32,0.666,0.497,0.424,1.45,0.4938595850622684,0.467,0.898
20,0.496,0.611,2.5855317591151437,3.36,2.63,1.1,0.885,1.43,1.23,0.938,1.191685858362992,0.761
21,0.63,0.689,0.674,1.5,1.17,1.3665443450371892,2.07,0.443,0.595,1.0,1.1613846115553215,0.393
22,0.344,0.414,2.2,3.83,1.88,1.0548374109551704,0.863,0.575,0.383,0.42,0.408,0.438
23,0.4557988729937883,0.531,1.9782354415222994,3.08,0.488,0.402,0.8879625833379943,0.4779517887653541,0.277,0.181,0.3132659342987723,0.239
24,0.194,0.27,1.03,0.846,0.491,0.852,1.68,0.47,1.69,0.514048581639602,0.4141025000466461,0.506
25,1.12,1.74,1.39,2.0459367206916768,1.872640132573129,0.974,0.975,2.49,0.938,1.28,1.92,1.8376952576951628
26,0.669,0.376,1.38,2.58,0.49,0.238,0.387,0.373,0.257,0.388,0.3,0.23
27,0.237,0.668,1.3014313451982351,2.21,1.04,1.3423783915778293,0.52,0.754,0.438,0.502,0.39130107376347456,0.73
28,0.384,0.760673531037509,2.28,2.4,2.6,1.04,3.82,2.56,0.99,0.41106454760458533,0.345,0.395
29,0.319,0.328,3.56,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.5942981822837625
30,0.29476582565802156,0.46347935252518696,1.13,0.695,0.587,0.441,0.371,0.413,1.41,1.75,1.35,0.879
31,0.382,0.452,2.61,3.27,1.88,0.898,1.65,0.658,0.368,0.36795453564765446,0.348,1.22
32,0.778,0.9152908998853444,1.04,1.51,0.464,1.49,0.791,0.256,0.269,0.407,0.323,0.413
33,1.63,0.633,2.12,1.92,2.09,2.24,3.19,1.3428281638465236,0.44,0.446,0.729,1.85
34,0.30438479874578256,0.347,1.1663006703058398,2.2,0.6503180816461327,1.8168474288496,1.06,0.468,0.293,0.3079811994034363,0.302,0.33056616264256483
35,0.34047938005684925,0.229,0.558,1.92,1.1,1.35,0.225,0.2,0.204,0.262,0.29,0.4958670992042415
36,0.27,0.342,1.42,2.24,0.466,2.74,0.686,0.4,0.321,0.327,0.325,0.209
37,0.255,0.328425207308778,0.518,1.6609862041367336,0.909,1.83,2.61,0.856,0.326,0.303,0.344,0.33
