"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"1",0.634,1.43,0.981,1.63,0.966,1.4,0.868,0.314,0.388,0.271,0.326,0.21
"2",1.10924101770568,0.908933664782947,1.78,1.46,2.73,1.46,1.94,0.491,3.69,0.456,0.338,0.793
"3",1.19223883827113,1.49263625978152,3.15,2.74,1.81104920489924,0.41438191682886,0.692,2.38,0.358,0.415,0.394,0.355
"4",0.0958536096833625,0.86104301378022,2.39,4.57,2.07233356335036,1.12616246708053,2.7,1.45102156678719,0.51,0.805,1.43,0.923
"5",1.34953703077435,1.8511957885149,5.12,2.69,3.11,0.817,1.32691905988471,1.20814262659938,0.694244242738811,-0.138433053460541,0.654,2.42
"6",1.48,0.588,1.86,4.28,2.20696923299414,0.621590880951481,0.723049854472103,0.810952626180372,0.5110250097781,0.524,0.422,0.38
"7",0.347,0.323,0.852,1.63064039197792,1.16413067827481,1.21139424702391,0.958272280287554,1.23,0.41,0.435,0.328,0.432
"8",0.5,0.472,1.31,2.72,3.89,2.59,1.21,0.506,0.295,0.302,0.372,0.428
"9",0.230942137315609,1.08111075309824,2.51,2.41850023489281,2.49830048565311,2.91,1.94,0.377,0.392,0.351,0.354214504776995,0.250389266499531
"10",0.173829528491081,0.819916612751096,1.52,1.72,1.39009966619552,0.746129982023785,0.55,0.358,0.235,0.298,0.279,0.227
"11",0.302,0.45,0.545,1.23,1,1.06,0.464,0.443288069342377,0.262942753074035,0.236,0.286,0.446
"12",0.414,0.422,1.63,3.25,1.87088129973384,0.98703365024162,0.663,0.302,0.432,0.14352041356771,0.24858637562658,0.307
"13",0.398000550768509,0.582841521236612,1.5,1.13,1.16,0.636,0.309,0.296,0.601,0.277,0.22,0.287
"14",0.138,0.39,0.666,0.749,0.7,0.790652001223027,0.760806879138437,0.269,0.246,0.279,0.381,0.301
"15",0.348,0.163,0.75955295362674,1.11822567205371,1.54,1.78,2.97,1.8,0.468,0.230667611017252,0.441701285307201,0.3
"16",0.256063042043502,0.428433959357164,0.816,1.79,0.62,1.69,0.537,0.91496928460796,0.315221540420193,0.494,0.129530913125738,0.64518954245285
"17",0.318,0.158,1.35,3.54,0.974,0.427,0.917,1.03183252591871,0.767727019952492,0.413957355562028,0.594901619812761,1.69
"18",0.996,0.732,1.32,1.53749002808611,1.32967406491112,1.37,0.518,0.414,0.354214945051662,0.294532785083713,0.386,0.327
"19",0.325,0.724,1.28,1.16,1.32466844320357,1.16237170987528,0.342,0.363,0.845,0.478,0.693,3.39
"20",1.69,0.468,0.725,2.18262042781524,2.927864359789,0.666,0.10526973159384,0.958473233186102,0.963972600484321,0.70956922714481,0.467,0.898
"21",0.496,0.611,1.49,3.36,2.63,1.1,0.885,1.05938328477207,1.0351557166284,0.690395875731465,0.576392156838647,0.761
"22",0.63,0.689,1.12598123765375,1.16640418205877,1.17,2.1,2.07,0.443,0.595,1,0.733,0.393
"23",0.290641434216356,0.705470257277093,1.4071875074453,2.05738849625249,1.88,1.46,0.812074279879195,0.297002305579644,0.198101304417637,0.428316884453638,0.408,0.438
"24",0.388,0.531,2.7,3.08,1.51853449316776,0.360183759592871,0.446,0.208,0.277,0.181,0.254,0.239
"25",0.194,0.27,1.03,0.846,0.491,0.852,1.68,0.47,1.69,0.858,0.833,0.506
"26",1.12,1.74,1.39,0.819,0.583,1.06140286691764,1.65216214819041,2.49,0.938,1.28,1.92,0.572
"27",0.310067479779134,0.756297237411276,1.38,1.36799437487275,1.040884696181,0.238,0.387,0.430280821931245,0.208320799674698,0.388,0.3,0.23
"28",0.237,0.668,2.11,2.21,1.04,0.375,0.52,0.754,0.438,0.502,0.907,0.73
"29",0.384,0.462,1.73959396092691,2.6731231419747,2.27816595117592,2.80455484887053,3.82,2.56,0.99,0.378,0.345,0.395
"30",0.319,0.328,3.56,4.5,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.348
"31",0.537,0.762,1.13,0.695,0.587,0.441,0.371,0.413,1.41,1.75,1.35,0.879
"32",0.382,0.452,2.61,3.27,1.88,0.771999335002767,0.685007478466613,0.658,0.368,0.342908714524882,0.623713756672335,1.22
"33",0.565784963095601,0.345000556710213,1.0197005746024,1.00936236469222,0.464,0.736704408101159,1.15450139058905,0.256,0.269,0.407,1.00203151388268,1.16741635730127
"34",1.63,0.633,2.12,1.92,2.09,2.24,3.19,1.07,0.44,0.11810439745102,0.862249783417829,1.85
"35",0.822,0.347,1.24,2.2,1.36651822808891,0.868489787242513,1.06,0.468,0.293,0.0828651571030201,0.285123966885319,0.318
"36",0.245,0.229,0.558,1.08619210453407,0.956273024355588,1.35,0.225,0.2,0.204,0.262,0.29,0.267
"37",0.27,0.342,1.42,2.24,1.43520029861631,0.702141673610634,0.686,0.4,0.321,0.327,0.325,0.209
"38",0.313786058283106,0.423085072416291,0.692084689748339,0.838900694883929,0.909,1.83,1.2205789655666,1.03629420223356,0.326,0.303,0.344,0.33
