,0,1,2,3,4,5,6,7,8,9,10,11
0,0.634,0.5700134038925171,0.9979529976844788,1.63,0.966,1.4,0.868,0.314,0.388,0.271,0.326,0.21
1,0.236,0.508,1.78,1.46,2.73,1.46,1.94,0.491,3.69,0.3863842487335205,0.338,0.793
2,1.04,1.65,3.15,2.74,0.6702794432640076,2.3199169635772705,0.6976907253265381,0.4943390488624573,0.358,0.3796309232711792,0.394,0.35467657446861267
3,0.357,0.31,2.39,4.57,1.52,1.0498816967010498,2.7,1.99,0.51,0.805,1.43,0.923
4,0.4467991888523102,0.581,5.12,2.69,1.9792879819869995,0.817,1.81,0.989,1.52,0.835,0.654,2.42
5,1.48,0.588,1.86,4.28,1.71,0.734,1.74,1.61,0.616,0.524,0.422,1.184522271156311
6,0.347,0.323,0.852,0.925,0.8841442465782166,1.14,0.728,1.23,0.41,0.435,0.328,0.432
7,0.5,0.472,1.31,2.72,3.89,2.59,1.21,0.506,0.295,0.4096166789531708,0.372,0.428
8,0.387,0.4604438841342926,2.51,3.18,2.31,2.91,1.94,0.377,0.392,0.351,0.374,0.375
9,0.2710455656051636,0.351,1.52,1.72,0.402,2.517730474472046,0.55,0.358,0.235,0.298,0.279,0.227
10,0.302,0.45,0.545,1.0706881284713745,1.0,1.06,0.464,0.2686246335506439,0.201,0.236,0.286,0.29390785098075867
11,0.406468003988266,0.422,1.63,3.25,1.89,2.38,1.6853511333465576,0.302,0.432,0.265,0.274,0.307
12,0.253,0.58,0.674555242061615,1.13,1.16,0.636,0.309,0.296,0.601,0.277,0.22,0.287
13,0.138,0.39,0.666,0.749,0.7,0.729,0.399,0.269,0.246,0.279,0.381,0.301
14,0.348,0.163,0.599,0.539,1.54,2.062619209289551,2.97,1.8,0.468,0.605,0.621,0.3
15,0.338,0.338,0.816,1.79,0.62,1.69,0.537,0.701,0.41757842898368835,0.494,0.485,0.28
16,0.318,0.158,1.35,3.54,1.977630376815796,0.427,0.917,1.74,1.58,0.686,0.505,1.69
17,0.996,0.9499756097793579,1.32,1.38,0.6455270051956177,1.37,0.518,0.414,0.287,0.38429954648017883,0.3200416564941406,0.327
18,0.40602418780326843,0.724,3.7745161056518555,1.16,2.7,0.895,0.342,0.363,0.845,0.478,0.6727414131164551,3.39
19,1.69,0.468,0.725,5.23,2.32,0.666,0.497,1.3319751024246216,1.45,0.627,0.467,0.898
20,0.496,0.611,1.49,3.36,2.63,1.1,1.4715789556503296,1.43,1.0133126974105835,0.938,0.591,0.761
21,0.63,0.41632312536239624,0.674,0.6399966478347778,1.17,2.1,2.07,1.2137805223464966,0.595,1.0,0.733,0.393
22,0.344,0.36473411321640015,2.2,3.83,0.7499837875366211,1.46,0.863,0.7822501063346863,0.383,0.42,0.408,0.438
23,0.388,0.531,2.7,3.08,0.488,0.9536347985267639,0.446,0.208,0.277,0.181,0.254,0.239
24,0.4262963533401489,0.27,1.03,0.846,0.491,0.852,1.68,0.47,1.69,0.858,0.9163872003555298,0.506
25,1.12,0.7529178857803345,1.39,0.819,0.583,0.974,0.975,2.49,0.938,1.28,1.92,0.6551299691200256
26,0.669,0.376,1.38,2.58,0.49,0.238,0.387,0.28899630904197693,0.5271556973457336,0.388,0.3,0.23
27,0.237,0.668,1.5155272483825684,2.21,1.04,0.375,0.52,0.5143541097640991,2.466939926147461,0.502,0.907,0.73
28,0.384,0.462,2.28,2.4,2.6,1.04,3.82,2.56,0.99,0.378,0.345,0.395
29,0.319,0.5812221169471741,3.56,3.5611209869384766,1.17,3.32,1.15,0.889,0.46,0.364,0.367,0.348
30,0.537,0.762,1.13,0.695,0.587,0.441,0.371,0.413,1.41,1.75,1.35,0.6597021818161011
31,0.382,0.452,2.61,3.27,1.88,0.898,1.65,0.658,0.368,0.418,0.348,1.22
32,0.778,1.02,1.04,1.51,0.7062003016471863,1.49,0.791,0.256,0.269,0.407,0.323,0.413
33,0.4372878670692444,0.633,2.12,1.92,2.09,2.24,3.19,1.07,0.44,0.446,0.729,1.85
34,0.6382578611373901,0.347,1.24,0.9825815558433533,0.643,1.86,1.06,0.468,0.293,0.391,0.302,0.318
35,0.245,0.229,1.7626097202301025,1.92,1.1,1.35,0.225,0.2,0.204,0.262,0.29,0.28161871433258057
36,0.27,0.342,1.42,2.24,0.466,2.74,0.686,0.4,0.2940142750740051,0.327,0.325,0.209
37,0.255,0.573,0.518,0.76,3.0984160900115967,1.83,2.61,0.48574984073638916,0.326,0.303,0.344,0.33
