41.3,203,131,NA,129,102,70.5,53.7,47.3,NA,53.8,39.7
NA,NA,218,138,345,108,133,47.7,166,80.1,36.8,91.4
186,230,166,223,106,NA,75.7,103,38.3,39.4,NA,43.6
31.7,69.6,139,334,NA,238,171,162,50.9,NA,159,161
NA,128,445,181,297,104,95.9,94.2,74.3,67.8,94.4,234
182,NA,193,NA,207,80,122,85.6,44.2,NA,NA,45.7
46.3,95.3,NA,153,97,93.1,71.9,56.6,27.3,25.2,19.9,24.3
23.8,NA,65.4,133,NA,175,129,59.8,46.6,54.2,NA,51.6
45.5,54.8,264,292,NA,245,155,47.5,32.5,27.2,37.4,47.3
81.2,71.6,153,264,75,56.5,59.1,40.1,19.5,23.4,22,17.1
NA,90.9,NA,270,153,NA,41.7,30.6,15.4,NA,25.7,NA
37.6,71.5,199,331,132,158,59,27,34,24.6,19.7,37.8
28.6,NA,138,144,NA,52.2,47.9,NA,76.4,38.7,32.6,68.6
32.1,NA,97.3,74.9,58.9,82.6,NA,20.3,22.8,25.4,NA,50
45.9,26.5,51.1,47,163,137,120,NA,NA,69.9,NA,NA
30.8,40.4,NA,NA,52.7,98.8,58.2,30,18.5,55.8,94.6,59.1
41.2,29.2,131,262,110,43.3,45.3,NA,NA,35.2,39.5,NA
96,79.7,128,178,109,114,NA,27.9,27.2,33.7,28.7,36.8
51.1,102,NA,NA,169,107,53.8,30,52.8,NA,58.9,196
158,52.3,NA,NA,167,71.8,NA,46.4,131,87.8,51.6,128
81.2,86.5,127,NA,NA,131,102,128,121,NA,70,111
141,NA,95.7,210,NA,393,273,69.2,85.7,158,169,66.9
NA,107,332,412,NA,NA,NA,59.1,NA,43.4,46.9,NA
NA,118,288,434,91,36.5,51.5,NA,NA,25.6,22.6,28.7
34.2,52.7,186,149,76.5,72,NA,66.5,145,90.7,100,75.8
95,238,172,101,62,71.6,NA,160,NA,95.2,172,56.8
123,58.5,NA,170,79.7,33.9,39.9,39.5,22.2,54.1,61.1,43
45.8,106,239,333,106,NA,42.4,82.1,45.1,NA,81.8,111
55.6,NA,NA,NA,278,NA,245,213,93.9,54.3,51.3,92.8
96.6,81.9,300,536,164,NA,125,NA,92.1,40.2,68.6,45.3
102,177,NA,87.9,86.5,86.3,47.8,42.9,112,93.2,137,NA
73.1,81.7,269,309,156,93.6,83.8,NA,33.2,48.7,45.8,141
73.1,NA,177,182,NA,88.3,73.1,NA,26.7,43.1,65.7,72.1
210,142,177,219,190,194,246,119,NA,52.5,67.4,203
108,80.4,126,150,82.1,90.8,92.8,NA,27.3,22.5,NA,34.2
25.1,23.3,78.1,184,104,131,30.2,21.3,NA,20.8,26.5,25.8
26.2,40.3,122,211,62.9,118,NA,27.6,40.9,59.2,42.4,30.5
60.4,79,75.5,77,94.3,NA,84.7,46.9,29.6,29,27,56.1
