100,352,254,458,NA,170,133,109,98.7,80.8,106,99
73.8,229,387,254,581,267,291,98.8,NA,191,85.5,138
327,465,265,437,303,NA,221,233,NA,102,99,107
87,NA,202,499,398,486,323,347,121,183,NA,290
192,218,665,307,522,207,143,NA,141,151,184,418
323,126,NA,NA,406,206,195,154,86.7,71.8,66.8,68.1
74,161,174,275,180,154,137,NA,NA,50,39.7,45.1
48.2,NA,97.2,203,421,310,207,104,85.4,NA,NA,82.1
58.1,104,365,432,NA,364,277,96.7,NA,NA,64.4,81.5
138,NA,196,398,185,129,115,NA,43.5,42.9,39.9,32.9
73.8,143,93,386,NA,306,88,57,37.2,38.8,42.7,69.8
67.9,NA,295,479,271,NA,117,55.5,69.6,55,45.5,70.2
51.6,57.6,204,222,286,187,118,NA,154,98.1,82.4,114
NA,118,170,146,NA,164,99,NA,45.4,57.1,88,85
75.5,48.7,92.8,104,290,312,244,210,85.9,136,134,NA
73.7,96.8,132,210,129,172,113,64.2,NA,94.1,NA,88
67.7,62.3,186,395,206,100,68.3,68.5,122,NA,83.2,175
NA,NA,NA,294,214,244,107,61.4,65.9,77,70.9,90.2
NA,160,167,209,NA,286,152,NA,122,100,NA,216
345,NA,NA,303,336,132,103,87,222,164,NA,224
182,NA,202,412,430,NA,198,NA,225,NA,135,173
243,145,156,331,291,526,NA,143,166,259,278,124
147,232,496,511,456,243,240,149,121,908,921,137
105,NA,NA,674,NA,92.5,95.7,67.2,90.9,49.7,NA,47
NA,76.7,222,255,188,136,271,152,263,183,166,135
172,320,NA,154,NA,132,NA,241,NA,154,239,116
210,NA,166,255,186,85,NA,68.8,53.7,107,111,81
NA,194,NA,NA,249,181,103,155,NA,105,177,224
130,143,437,637,531,NA,368,376,205,122,107,172
195,167,438,814,336,469,244,216,NA,86.6,NA,92
148,269,296,167,NA,189,94.5,NA,169,159,226,200
118,140,368,430,316,199,145,121,NA,105,93.1,NA
120,176,303,277,147,152,145,108,63.4,74.4,139,112
348,NA,239,334,NA,343,NA,219,134,118,120,NA
182,NA,201,236,162,154,166,121,58.2,38.7,37.1,53.3
46.2,NA,NA,261,208,225,75.8,NA,31.4,34.5,46.1,NA
NA,62.7,180,313,131,172,NA,56.6,67,NA,NA,67.9
99.7,115,113,134,201,138,173,118,NA,NA,NA,120
