16.7,73.3,50.5,72.2,45.5,37.6,22.6,16.3,18.5,12.9,26,NA
NA,48.3,NA,NA,134,38.5,53.7,18.1,86.8,NA,16.1,47.3
56.4,60.3,NA,NA,51.3,27.7,25,46.4,15.6,13.5,14.3,16.5
10.1,14,47.9,112,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
NA,20.8,146,67.9,100,37.2,59.5,32.5,22.6,38.3,43.1,81.3
44.1,14.3,NA,103,69.2,NA,NA,31.3,14.1,13.1,12.9,13.2
19.8,26.2,54.5,56.9,NA,NA,23.6,25.9,10.9,10,9.3,8.7
NA,NA,17.9,45.6,118,79.5,NA,16.2,14.1,16.7,15.8,18.5
11.2,11.3,23.5,NA,NA,85.6,51.4,17.9,14.2,10.8,15.6,18.7
27.9,20.7,NA,135,31,15.8,22.1,NA,NA,9.5,8.8,8
11.2,33.2,24.5,92.8,NA,47.5,NA,12.2,8.9,NA,11.1,13.4
13.7,17.8,69.1,134,53.3,55.8,21.3,12.8,16,10.3,9,NA
9.44,27.9,61.7,73.4,50,24.4,16.7,21.8,31,17.1,14.3,31.5
15.7,27.4,44.1,34,NA,36.9,20.1,10.3,10.4,11.4,26.3,21.8
NA,10.3,27.2,27.1,NA,NA,42.2,37.1,NA,23.7,26.3,13
NA,11.9,35.3,65.9,24.4,43.4,28.6,14.4,12.8,28.9,52.8,22.8
19.8,13,65.4,110,51.9,21,23.1,23.8,55.7,NA,18.8,61
37.6,36.3,66.5,88,NA,41.4,20.4,12.2,9.6,15.3,13.4,18.1
19,NA,56.9,NA,79.3,40.4,NA,14.4,25.4,NA,NA,119
45.2,16.4,26.4,86.4,65,NA,18.5,11.9,55.4,36.4,21.6,42.6
NA,28.8,45.8,89,93.5,NA,NA,41,NA,NA,27.6,37.1
34.3,26.1,31.4,NA,62.6,119,71.4,21.4,27.9,54.6,NA,20
18.1,23.4,105,181,73.4,NA,27.4,18.5,13.8,13.9,14.3,23.8
15.6,NA,NA,171,30.2,NA,NA,12.2,13.6,9.7,NA,11.8
11.9,NA,NA,72.8,29.1,29.1,48.1,19.1,55.3,29.7,40.6,18.1
27.3,95.7,NA,46.6,29.3,36.5,24.1,63.3,29.9,44.7,71.5,22.4
37.9,13.9,37.1,NA,33.1,13,17.8,15.3,NA,21,NA,9.93
8.7,36.1,92.9,NA,51.5,NA,19.9,31.5,16.6,19.8,39.3,NA
19.2,32.5,88.1,NA,107,33.3,83.1,68.6,24.8,15.6,15.4,24
NA,26.5,106,205,NA,108,45.8,44.1,31.1,15,NA,16
44.6,70.1,76.6,37.1,33.5,26.8,18.3,18.1,NA,39.6,NA,40.5
30.9,23,101,NA,NA,32.7,44.5,24.4,15.4,16.6,19.9,48.1
26.4,43.7,50.6,76.1,NA,41.7,NA,23.1,11.4,18.1,19.2,26.9
NA,53,70.9,84.9,79.3,66.8,75.4,NA,25.3,19.1,24.7,83.1
37.5,NA,43.5,62.9,31,30.4,35.6,21.1,11.2,NA,8.6,12.1
9.6,8,NA,77.3,40.3,57.9,10.9,8.4,7.9,8.7,9.8,9.8
9.6,15.7,40.3,NA,22,NA,NA,12.8,19.4,14.1,14.3,12
22.7,NA,32.9,30,26,22.8,37.8,18.3,10.9,12.5,NA,14.2
