NA,36.647759663002,131,232,NA,206.045344028037,70.5,53.7,47.3,35.9,53.8,39.7
31.1,NA,105.526725930552,NA,86.8630704915683,108,133,47.7,166,80.1,36.8,91.4
186,NA,196.125321006677,223,106,112,75.7,103,38.3,39.4,36.3,43.6
31.7,69.6,139,334,198,238,171,162,50.9,107,159,161
88.9,128,NA,560.274605979958,297,104,95.9,94.2,74.3,67.8,94.4,234
182,68,193,287,207,80,122,85.6,44.2,42,41.9,45.7
46.3,95.3,140,153,97,93.1,71.9,56.6,27.3,25.2,19.9,24.3
23.8,NA,211.479387142631,133,263,175,129,59.8,46.6,54.2,40.3,51.6
45.5,54.8,264,292,282,245,155,47.5,32.5,27.2,37.4,47.3
81.2,71.6,153,264,75,56.5,NA,29.8944280310869,19.5,23.4,22,17.1
35.994125720922,NA,61.5,270,NA,151.251911274087,NA,25.8468455974706,15.4,20,25.7,41.2
37.6,NA,111.114743759222,261.781214490356,NA,158,59,27,34,24.6,19.7,37.8
28.6,47.1,138,144,152,52.2,47.9,47.4,NA,65.7615874876504,32.6,68.6
44.3087651528066,NA,97.3,74.9,58.9,82.6,42.8,20.3,22.8,25.4,52,50
45.9,26.5,51.1,47,163,137,120,98.6,34.8,69.9,68.6,35.2
30.8,40.4,89.7,132,52.7,NA,72.7853593503818,30,18.5,55.8,94.6,59.1
41.2,29.2,131,262,110,43.3,45.3,41.6,83.8,35.2,39.5,132
96,79.7,128,178,109,114,47.8,27.9,27.2,33.7,28.7,36.8
51.1,102,112,127,169,107,53.8,30,52.8,37.8,58.9,196
158,52.3,103,NA,135.681899109792,71.8,NA,51.3124272997033,131,87.8,51.6,128
81.2,NA,350.647320095495,286,221,131,102,128,121,133,70,111
82.4038491326745,NA,95.7,210,156,393,273,69.2,85.7,158,NA,106.673016448363
74.2,107,332,412,262,NA,145.888611825193,59.1,48.2,43.4,46.9,68.8
46.4,118,NA,249.823634868348,91,36.5,51.5,27.7,32.5,25.6,22.6,28.7
34.2,52.7,186,149,NA,210.177288957647,160,66.5,145,NA,97.9708562658492,75.8
209.755252337717,NA,172,101,62,71.6,55.3,160,NA,159.235109241747,172,56.8
123,58.5,121,170,79.7,33.9,39.9,39.5,22.2,54.1,61.1,43
NA,106,239,333,106,NA,91.9646488245996,82.1,45.1,49.8,81.8,111
257.867066616418,191.967705147778,NA,NA,196.026723788962,155,245,213,93.9,54.3,51.3,92.8
96.6,81.9,300,536,164,297,125,121,92.1,40.2,68.6,45.3
102,177,185,87.9,86.5,86.3,47.8,42.9,112,93.2,137,123
53.2523757311256,NA,266.561385830719,NA,156,93.6,83.8,55.4,33.2,48.7,45.8,141
73.1,118,177,NA,92.9701007824675,88.3,NA,28.2996900183994,26.7,43.1,65.7,72.1
210,142,177,219,190,194,NA,121.931725962952,67.5,52.5,67.4,203
108,NA,126.405752439651,150,82.1,90.8,92.8,60,27.3,22.5,21,34.2
25.1,23.3,78.1,184,104,131,30.2,21.3,17.2,NA,23.869664577958,25.8
NA,91.386005839139,61.8288158317607,NA,153.818029630234,NA,53.1,27.6,40.9,NA,63.9456967027373,30.5
60.4,79,75.5,77,94.3,67.6,84.7,46.9,29.6,29,27,56.1
