41.3,203,131,NA,88.039,102,NA,72.977,47.3,35.9,53.8,39.7
31.1,128,NA,138,345,108,133,NA,102.833,80.1,36.8,91.4
NA,82.641,161.05,199.608,NA,112,75.7,103,38.3,39.4,36.3,43.6
92.249,NA,188.463,247.849,125.988,NA,110.83,NA,50.9,107,NA,113.124
88.9,128,NA,NA,187.485,NA,95.9,94.2,74.3,NA,65.995,234
182,68,193,287,207,80,122,85.6,44.2,NA,46.878,45.7
46.3,95.3,140,153,NA,103.725,71.9,56.6,27.3,25.2,19.9,24.3
NA,81.033,187.473,NA,NA,159.016,129,59.8,46.6,54.2,40.3,51.6
45.5,54.8,264,NA,230.555,245,155,47.5,32.5,27.2,37.4,47.3
NA,84.665,153,264,NA,94.004,59.1,40.1,19.5,23.4,NA,34.335
39.1,NA,138,270,NA,90.023,41.7,NA,38.324,20,NA,49.398
37.6,71.5,NA,331,132,158,NA,56.2240000000001,NA,33.001,19.7,37.8
86.243,NA,127.613,200.486,NA,52.2,47.9,47.4,76.4,38.7,32.6,68.6
50.183,NA,NA,196.639,NA,74.967,42.8,20.3,22.8,25.4,52,50
45.9,NA,192.627,47,163,137,120,98.6,NA,69.9,68.6,35.2
30.8,NA,143.952,132,52.7,98.8,NA,78.632,63.279,73.8009999999999,NA,59.1
41.2,29.2,131,262,NA,88.676,45.3,41.6,83.8,35.2,39.5,132
96,79.7,128,178,109,114,47.8,NA,37.537,33.7,28.7,36.8
51.1,102,112,127,169,107,53.8,30,52.8,NA,45.73,196
158,52.3,103,200,167,71.8,55.7,46.4,131,87.8,51.6,128
81.2,NA,203.573,208.074,NA,NA,112.517,128,121,133,70,111
141,NA,180.333,210,156,393,273,69.2,NA,82.776,NA,92.654
74.2,107,332,412,262,125,97.9,NA,46.37,43.4,46.9,68.8
83.69,NA,NA,289.327,105.007,NA,51.5,27.7,32.5,25.6,22.6,28.7
34.2,NA,137.965,149,76.5,NA,77.701,66.5,145,90.7,NA,110.794
95,238,172,101,62,71.6,55.3,NA,92.874,95.2,NA,75.14
123,NA,113.546,170,79.7,NA,56.162,39.5,NA,47.761,61.1,43
45.8,106,239,333,106,NA,NA,97.9280000000001,45.1,49.8,81.8,111
55.6,71.4,267,NA,147.568,154.025,83.52,NA,93.9,54.3,51.3,92.8
96.6,NA,272.13,536,164,297,125,121,NA,65.525,68.6,45.3
102,177,185,87.9,86.5,86.3,NA,118.487,112,93.2,137,123
73.1,81.7,269,309,NA,114.424,83.8,55.4,33.2,48.7,45.8,141
71.307,NA,NA,180.117,55.1,88.3,NA,93.87,NA,49.246,65.7,72.1
210,142,177,219,190,NA,112.876,119,67.5,52.5,67.4,203
NA,107.261,NA,186.259,82.1,90.8,92.8,NA,29.758,NA,34.956,34.2
25.1,23.3,78.1,184,NA,82.697,30.2,21.3,17.2,NA,38.329,25.8
NA,64.034,122,211,62.9,118,53.1,27.6,40.9,59.2,42.4,30.5
60.4,79,75.5,77,94.3,NA,55.801,32.611,NA,29,27,56.1
