100,352,NA,297.526145488159,284,170,133,109,98.7,NA,115.858363143584,99
211.727844163791,NA,387,254,581,267,NA,191.675456732214,142.015250227251,NA,85.5,138
327,465,NA,320.012519361354,303,292,221,233,116,102,99,107
87,NA,304.026701838841,499,398,486,323,347,121,NA,142.540645902666,NA
192,218,NA,503.465004505792,522,207,143,168,NA,454.387991410595,295.241414185738,135.382413632236
323,126,314,463,406,206,195,154,NA,101.264842705796,NA,68.1
NA,116.970237011127,174,275,180,NA,131.734904369225,90.7304490572879,NA,56.4271845432239,NA,45.1
48.2,71.7,97.2,203,421,310,207,104,85.4,96.1,67.4,82.1
58.1,104,365,432,469,364,277,96.7,86.6,NA,78.127183144081,81.5
138,126,NA,303.185406314781,194.171545952384,NA,115,81.8,43.5,NA,56.4691161199085,32.9
73.8,143,93,386,337,306,NA,77.0112478582944,37.2,38.8,42.7,69.8
67.9,NA,216.729935679573,479,271,303,117,55.5,69.6,55,45.5,70.2
51.6,57.6,NA,320.47968504567,286,187,118,98.7,154,98.1,NA,110.428243900281
76,118,170,146,129,164,NA,79.2981140803445,62.3288968970495,NA,88,85
75.5,48.7,92.8,104,290,312,244,210,85.9,136,134,89
73.7,96.8,132,NA,213.581896864647,206.572195766454,NA,64.2,56.7,94.1,151,88
67.7,62.3,NA,286.359690134153,206,100,68.3,68.5,122,78.5,NA,94.8389687539915
NA,128,172,294,214,244,107,61.4,65.9,77,70.9,90.2
211.702983831274,148.459366638578,NA,209,342,286,152,85.8,NA,142.08699209444,131,216
NA,166.592771711617,174,303,336,132,103,87,222,164,99.1,224
182,133,202,412,430,240,198,270,225,229,135,173
243,145,156,331,291,526,441,143,166,259,278,124
163.355557021605,NA,496,511,456,243,240,149,121,908,921,137
105,257,388,674,223,92.5,95.7,NA,86.368343289785,49.7,45.9,47
57.9,76.7,222,255,188,136,271,152,NA,147.928219964413,166,135
172,320,NA,254.727830009233,124,132,92,241,129,154,239,116
210,111,166,255,186,85,71.4,68.8,53.7,107,NA,108.593394518611
91.7,194,NA,380.41664010826,249,181,NA,124.600591157858,78.9,105,177,224
193.753846768546,NA,437,637,531,286,NA,199.157382580989,205,122,107,172
NA,179.947982907804,438,814,336,469,244,216,NA,140.325661052061,106,92
148,269,296,167,199,189,94.5,87.9,169,159,226,200
166.910737732614,NA,NA,390.535389989062,316,199,145,121,73.2,NA,129.711099788136,212
108.516270233915,NA,303,277,NA,163.220008894679,126.819819564271,NA,63.4,74.4,139,112
348,225,239,334,318,NA,256.574218652848,219,134,118,120,292
118.26312686401,NA,201,236,162,154,166,121,NA,78.0231478695179,37.1,53.3
46.2,NA,158.691789027098,261,NA,196.500578546987,75.8,45.7,31.4,34.5,46.1,NA
115.624918702414,NA,180,313,131,NA,122.577869985308,113.887418569211,NA,NA,118.565807221823,132.476666806687
99.7,115,113,134,201,138,NA,117.597703303951,NA,105.202892375479,81.7,120
