100,352,NA,267.759208019228,284,170,133,109,98.7,NA,104.269454989043,99
73.8,229,387,254,581,NA,231.348897246141,98.8,247,191,85.5,138
NA,162.464143255032,315.184843329127,NA,NA,270.477128773541,227.68410063405,NA,116,102,99,107
87,NA,351.137388267094,499,NA,238.662089775239,323,NA,151.572050016929,183,254,290
NA,200.148834946806,665,307,522,207,143,168,141,151,184,418
NA,164.006188084541,NA,NA,318.808439094769,206,195,154,86.7,71.8,66.8,68.1
158.084461223883,135.122244102139,NA,329.302225811912,NA,154,137,93.7,57.2,50,39.7,45.1
48.2,71.7,97.2,203,421,310,207,104,85.4,96.1,67.4,82.1
58.1,104,365,432,NA,275.809658270621,277,96.7,86.6,49.2,64.4,81.5
138,126,196,398,185,129,NA,62.5475134058607,43.5,42.9,39.9,32.9
73.8,143,93,386,337,306,88,57,37.2,38.8,42.7,69.8
NA,115,295,479,271,303,117,55.5,69.6,55,45.5,70.2
152.62783208662,144.126317367999,NA,222,286,187,118,98.7,NA,143.223557019046,82.4,114
76,118,170,146,129,NA,117.089162948632,NA,54.6975423861406,57.1,88,85
NA,162.023759775603,92.8,104,290,312,244,210,NA,100.137986494179,134,NA
73.7,96.8,132,210,NA,124.494907331095,113,64.2,56.7,NA,91.4586765461928,95.7963395697778
67.7,62.3,186,395,206,100,68.3,68.5,122,78.5,83.2,175
155,128,172,294,214,244,107,61.4,65.9,77,70.9,90.2
106,160,167,209,342,286,152,NA,105.246154694534,137.167731442001,NA,216
345,127,174,303,336,132,103,87,222,164,99.1,224
182,133,202,412,430,NA,263.913000065938,270,225,229,135,173
243,145,156,331,291,526,441,NA,170.593956053444,259,NA,240.675303794095
NA,171.487231215256,493.35669360319,NA,456,243,NA,309.298450350856,164.534564888708,NA,NA,269.97622771726
105,257,NA,437.228344174546,223,92.5,95.7,67.2,90.9,49.7,NA,66.5003004040554
57.9,76.7,NA,204.679917868628,188,136,NA,124.117384845035,NA,191.791727944167,166,135
NA,330.267510066147,233,154,124,132,92,241,129,154,239,116
66.5469184724506,NA,166,255,186,85,71.4,68.8,NA,69.1835728484767,111,81
91.7,194,343,499,249,181,103,155,78.9,105,177,224
130,143,437,637,NA,315.16295778029,368,376,205,NA,427.80925937394,172
195,167,NA,340.805870808613,336,469,244,216,210,86.6,106,92
148,269,296,167,NA,132.213808453606,94.5,87.9,169,159,226,200
118,140,368,430,NA,242.689414938099,145,121,73.2,105,93.1,NA
120,NA,306.195771504625,277,NA,142.060040855656,145,108,63.4,NA,59.0471922229092,66.465750584035
348,225,239,334,NA,446.752518297455,357,219,NA,149.548862663887,120,292
182,161,NA,335.395089349877,NA,146.292213053385,166,121,58.2,NA,46.241218944661,53.3
46.2,48.8,107,261,208,NA,121.893457974228,NA,63.7476989105939,34.5,46.1,44.7
46.2,62.7,180,313,131,172,99.1,56.6,67,NA,72.4328157170808,67.9
NA,159.486439681712,113,134,201,138,173,118,81.1,NA,107.616772988421,120
