100,352,254,458,284,170,133,109,NA,118.9,106,99
73.8,229,387,254,NA,280.15,291,NA,184.72,191,85.5,138
NA,196.229,265,437,303,292,221,233,116,102,99,107
248,NA,202,NA,353.28,NA,224.493,347,121,183,254,290
NA,193.531,665,307,522,NA,231.64,168,141,151,184,418
NA,159.46,NA,379.63,406,NA,177.833,154,86.7,71.8,66.8,68.1
74,161,174,275,180,154,137,93.7,57.2,50,39.7,45.1
48.2,NA,192.52,NA,260.38,310,207,NA,79.465,96.1,67.4,82.1
58.1,104,365,432,NA,282.45,277,96.7,86.6,49.2,64.4,81.5
138,126,196,398,185,129,115,NA,60.8439999999999,42.9,39.9,32.9
73.8,143,93,386,337,306,NA,90.736,37.2,38.8,42.7,69.8
88.934,NA,295,479,271,303,117,55.5,69.6,55,45.5,70.2
51.6,57.6,204,222,NA,262.26,161.971,NA,154,98.1,82.4,114
76,118,170,146,129,NA,115.722,50.6,45.4,57.1,88,85
75.5,NA,194.57,104,290,NA,212.005,NA,200.524,136,NA,150.651
NA,135.759,132,210,129,172,NA,88.8420000000001,56.7,94.1,151,NA
67.7,NA,216.42,NA,230.18,189.07,NA,68.5,122,NA,107.59,108.011
155,128,172,294,214,244,NA,91.8560000000001,65.9,77,70.9,90.2
106,160,167,209,NA,225.49,152,85.8,122,NA,114.147,216
345,127,174,303,336,132,NA,166.067,187.803,NA,99.1,224
182,133,202,412,430,NA,242.862,270,225,229,NA,181.834
243,145,156,331,291,NA,208.34,143,166,259,278,124
147,232,496,511,456,243,240,149,121,908,921,137
105,257,388,674,223,NA,171.314,132.808,NA,49.7,45.9,47
163.986,NA,222,255,188,136,271,152,263,183,NA,131.482
206.557,NA,NA,351.91,124,132,92,241,129,154,239,116
210,111,166,255,186,85,71.4,68.8,53.7,107,111,81
260.667,NA,343,NA,357.95,181,103,155,78.9,105,177,224
NA,203.794,437,637,531,286,368,376,205,122,107,172
195,167,438,814,336,469,244,216,NA,152.327,106,92
148,NA,248.76,167,199,189,NA,162.769,169,159,NA,146.701
118,140,368,430,316,199,145,121,73.2,105,93.1,212
120,176,303,277,147,NA,160.379,NA,99.943,74.4,139,112
348,NA,299.64,334,318,343,357,219,134,118,120,292
182,161,201,NA,218.95,154,166,121,58.2,38.7,37.1,53.3
46.2,NA,164.85,261,208,225,75.8,45.7,31.4,34.5,46.1,44.7
NA,62.7,180,313,NA,184.07,99.1,56.6,67,113,NA,105.443
138.057,163.782,NA,134,NA,183.21,173,118,81.1,83.7,81.7,120
