42.437,NA,50.5,72.2,45.5,NA,23.644,16.3,18.5,12.9,26,14.2
10.5,48.3,64.8,53.9,NA,40.848,34.05,NA,86.8,30.9,16.1,47.3
56.4,60.3,92.2,86.7,51.3,27.7,25,46.4,15.6,13.5,14.3,16.5
10.1,14,47.9,112,68.3,88.7,57.2,38.7,18.8,43.7,63.5,36.3
23.4,NA,54.847,67.9,100,37.2,59.5,32.5,22.6,38.3,43.1,81.3
44.1,14.3,36.5,NA,58.94,31.7,51.9,31.3,14.1,13.1,12.9,13.2
NA,27.761,40.911,NA,44.466,NA,23.6,25.9,10.9,NA,12.43,8.7
8.59,11.9,17.9,45.6,118,79.5,NA,31.116,46.053,NA,15.8,18.5
19.1311,NA,23.5,NA,62.947,50.041,NA,17.9,14.2,NA,19.217,18.7
27.9,20.7,64.5,NA,41.697,15.8,22.1,15.8,9.5,9.5,8.8,8
11.2,33.2,24.5,92.8,53.6,47.5,17.9,12.2,8.9,9,NA,NA
13.7,17.8,69.1,134,53.3,55.8,21.3,12.8,NA,17.752,17.786,25.85
26.7841,NA,NA,79.054,50,24.4,16.7,21.8,31,17.1,14.3,31.5
15.7,27.4,NA,90.156,29.4,NA,20.1,10.3,10.4,NA,15.936,21.8
NA,30.796,NA,NA,47.149,42.046,33.082,NA,16.2,23.7,26.3,13
9.22,11.9,35.3,NA,39.243,43.4,28.6,14.4,12.8,28.9,52.8,22.8
19.8,13,65.4,110,51.9,21,23.1,NA,19.679,17.9,18.8,61
37.6,36.3,NA,96.4429999999999,55.9,41.4,20.4,12.2,9.6,15.3,13.4,18.1
NA,30.658,56.9,69.5,79.3,40.4,23.7,14.4,25.4,16.7,26.8,119
45.2,NA,60.473,86.4,65,22.9,18.5,11.9,55.4,36.4,21.6,42.6
21.9,28.8,NA,64.07,93.5,NA,44.307,41,53,63.3,27.6,37.1
34.3,26.1,31.4,88.6,62.6,119,71.4,21.4,27.9,54.6,56.7,20
NA,32.765,105,181,73.4,36.8,27.4,18.5,13.8,13.9,14.3,23.8
NA,32.706,117,171,30.2,NA,26.492,12.2,13.6,9.7,NA,22.6723
11.9,20.1,80,72.8,29.1,29.1,48.1,NA,15.962,22.67,NA,18.1
27.3,95.7,83.6,46.6,NA,52.658,24.1,NA,38.914,33.464,NA,22.4
37.9,13.9,NA,89.402,33.1,13,17.8,15.3,9.85,21,23,9.93
8.7,NA,63.581,113,51.5,NA,29.445,31.5,16.6,19.8,39.3,44.8
19.2,32.5,88.1,136,107,NA,37.396,NA,27.959,15.6,NA,55.35
26.5,26.5,106,205,62.9,108,45.8,44.1,31.1,15,29,16
44.6,70.1,76.6,37.1,33.5,26.8,18.3,18.1,54.2,39.6,NA,31.5842
30.9,NA,70.278,137,67.2,32.7,44.5,24.4,15.4,16.6,19.9,48.1
NA,26.553,50.6,76.1,22.5,41.7,28.3,NA,18.066,18.1,19.2,26.9
67.1,53,70.9,84.9,NA,32.895,35.635,NA,29.7085,18.414,NA,83.1
37.5,21.6,43.5,62.9,31,NA,29.818,21.083,NA,10,8.6,12.1
9.6,8,NA,93.598,40.3,57.9,10.9,8.4,NA,12.947,9.8,9.8
9.6,15.7,NA,78.659,22,54.5,16,12.8,NA,23.942,14.3,12
22.7,33.5,32.9,NA,47.521,22.8,37.8,NA,19.545,12.5,10.4,14.2
